Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
25,"Iowa  7 seed, R32",B10,33,22-11,115.6,96.8,.8852,51.3,48.0,14.8,18.8,31.9,31.3,33.0,25.0,48.7,48.7,37.4,31.3,35.5,38.2,68.9,+2.0,Iowa,7 seed,R32,2016
26,"Butler  9 seed, R32",BE,33,22-11,119.1,99.8,.8844,52.6,49.7,14.5,18.6,32.2,27.5,39.3,35.8,49.9,49.1,39.3,33.8,30.5,36.3,68.3,+2.1,Butler,9 seed,R32,2016
28,"Maryland  5 seed, Sweet Sixteen",B10,35,26-9,116.0,97.5,.8800,55.2,46.5,18.9,16.4,29.1,29.9,37.0,27.0,55.8,45.5,36.2,32.1,38.3,35.1,67.1,+4.0,Maryland,5 seed,Sweet Sixteen,2016
29,"Syracuse  10 seed, Final Four",ACC,37,23-14,112.5,94.7,.8786,50.0,47.3,18.1,20.4,33.5,35.3,35.4,28.0,47.2,48.1,36.0,30.7,42.1,39.7,64.6,-0.30,Syracuse,10 seed,Final Four,2016
30,"VCU  10 seed, R32",A10,36,25-11,112.9,95.2,.8773,51.0,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,33.3,30.3,69.4,+0.03,VCU,10 seed,R32,2016
31,"Utah  3 seed, R32",P12,35,26-9,116.5,98.4,.8752,55.1,48.0,18.2,15.3,29.2,27.8,37.9,23.0,55.5,44.5,36.3,37.1,37.3,31.9,66.0,+5.7,Utah,3 seed,R32,2016
32,"Baylor  5 seed, R64",B12,33,21-12,118.9,100.5,.8734,51.6,51.2,18.6,19.8,40.0,28.8,38.6,38.6,49.8,49.1,37.4,36.9,28.4,33.8,66.5,+3.5,Baylor,5 seed,R64,2016
33,"Connecticut  9 seed, R32",Amer,36,25-11,111.4,94.6,.8674,51.5,44.5,16.3,18.2,28.6,29.1,29.6,35.4,49.9,42.0,36.5,32.6,33.6,36.2,65.9,+1.2,Connecticut,9 seed,R32,2016
35,"Pittsburgh  10 seed, R64",ACC,32,20-12,114.9,97.9,.8631,51.1,50.0,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35.0,35.4,30.6,34.4,65.4,+1.8,Pittsburgh,10 seed,R64,2016
36,"Cincinnati  9 seed, R64",Amer,33,22-11,111.0,94.6,.8619,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27.0,47.7,41.3,34.8,35.7,36.6,35.2,65.1,+0.36,Cincinnati,9 seed,R64,2016
37,"Saint Joseph's  8 seed, R32",A10,36,28-8,115.1,98.7,.8548,51.2,48.1,14.3,16.1,28.3,25.8,37.4,25.0,52.3,49.2,32.7,31.1,35.6,41.5,70.0,+3.6,Saint Joseph's,8 seed,R32,2016
39,"Texas  6 seed, R64",B12,33,20-13,112.8,97.1,.8495,49.4,47.7,15.4,18.5,30.7,32.0,39.5,38.4,48.5,45.8,34.1,34.5,36.2,32.9,65.4,+3.1,Texas,6 seed,R64,2016
41,"Wisconsin  7 seed, Sweet Sixteen",B10,35,22-13,109.5,94.5,.8444,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,34.2,29.0,63.2,+0.49,Wisconsin,7 seed,Sweet Sixteen,2016
46,"USC  8 seed, R64",P12,34,21-13,114.5,99.8,.8302,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,32.2,34.5,71.2,+0.23,USC,8 seed,R64,2016
47,"Providence  9 seed, R32",BE,35,24-11,110.3,96.3,.8270,48.0,49.3,16.1,20.6,30.4,30.3,37.3,28.0,48.0,49.8,32.1,32.3,37.1,33.1,68.4,+3.3,Providence,9 seed,R32,2016
48,"Stephen F. Austin  14 seed, R32",Slnd,30,24-6,111.0,97.0,.8251,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,36.8,30.7,67.3,-1.1,Stephen F. Austin,14 seed,R32,2016
50,"Yale  12 seed, R32",Ivy,29,22-7,110.0,96.5,.8188,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36.0,32.7,31.1,34.3,65.8,+0.10,Yale,12 seed,R32,2016
51,"Notre Dame  6 seed, Elite Eight",ACC,36,24-12,119.0,104.4,.8175,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,52.9,46.5,37.4,36.9,34.3,34.4,64.6,+2.3,Notre Dame,6 seed,Elite Eight,2016
52,"Michigan  11 seed, R64",B10,35,22-13,114.2,100.3,.8165,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27.0,52.6,51.1,38.0,34.7,44.3,36.4,65.4,+0.9,Michigan,11 seed,R64,2016
54,"Texas Tech  8 seed, R64",B12,32,19-13,113.7,100.0,.8134,50.0,49.6,17.8,19.0,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,30.4,37.8,66.3,+1.3,Texas Tech,8 seed,R64,2016
55,"Dayton  7 seed, R64",A10,33,25-8,106.3,93.6,.8117,51.6,46.9,18.6,18.0,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,35.0,36.8,67.6,+2.6,Dayton,7 seed,R64,2016
56,"Northern Iowa  11 seed, R32",MVC,35,22-13,110.7,97.6,.8088,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,42.7,39.1,62.8,-2.0,Northern Iowa,11 seed,R32,2016
58,"Colorado  8 seed, R64",P12,33,21-12,108.6,96.2,.8020,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,32.1,28.8,69.0,+0.7,Colorado,8 seed,R64,2016
60,"Hawaii  13 seed, R32",BW,32,26-6,107.8,96.0,.7921,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30.0,38.8,33.7,70.5,+1.0,Hawaii,13 seed,R32,2016
64,"Oregon St.  7 seed, R64",P12,31,18-13,110.9,99.2,.7826,49.8,49.5,16.6,19.5,29.0,32.2,36.8,39.3,46.9,50.0,37.4,32.4,31.7,38.9,67.1,+0.32,Oregon St.,7 seed,R64,2016
66,"Little Rock  12 seed, R32",SB,33,28-5,108.6,97.3,.7810,51.9,45.9,15.6,21.0,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,35.0,40.2,62.9,+2.2,Little Rock,12 seed,R32,2016
78,"Tulsa  11 seed, R68",Amer,32,20-12,110.4,100.7,.7411,50.3,48.2,15.6,20.4,28.0,30.5,39.6,34.6,51.1,45.0,32.6,35.9,36.3,36.9,68.5,-1.1,Tulsa,11 seed,R68,2016
80,"South Dakota St.  12 seed, R64",Sum,32,24-8,111.5,102.0,.7361,51.3,48.0,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,37.2,32.8,68.3,-1.0,South Dakota St.,12 seed,R64,2016
85,"Temple  10 seed, R64",Amer,33,21-12,107.2,98.6,.7240,47.0,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,37.5,32.2,65.6,-0.04,Temple,10 seed,R64,2016
92,"UNC Wilmington  13 seed, R64",CAA,31,23-8,110.4,101.9,.7138,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51.0,46.1,34.4,33.9,33.6,28.5,70.4,-0.6,UNC Wilmington,13 seed,R64,2016
93,"Cal St. Bakersfield  15 seed, R64",WAC,30,21-9,104.6,96.6,.7136,49.3,45.2,18.2,21.5,34.1,29.7,38.0,42.1,48.5,42.8,34.3,33.4,27.1,33.2,67.5,-3.4,Cal St. Bakersfield,15 seed,R64,2016
105,"Iona  13 seed, R64",MAAC,33,22-11,110.2,103.0,.6834,53.8,48.8,17.6,19.2,29.2,31.0,32.4,36.3,52.5,46.0,37.0,35.8,44.0,36.0,71.7,-3.3,Iona,13 seed,R64,2016
110,"Fresno St.  14 seed, R64",MWC,33,23-10,107.2,101.1,.6622,48.4,48.8,15.1,21.0,30.0,29.7,37.7,46.4,47.0,48.4,34.4,33.0,30.3,39.3,68.9,-0.7,Fresno St.,14 seed,R64,2016
113,"Stony Brook  13 seed, R64",AE,31,24-7,105.7,100.3,.6466,52.2,47.6,17.3,18.4,34.8,26.0,32.2,27.6,50.7,45.8,37.2,34.1,28.8,34.4,66.9,-1.0,Stony Brook,13 seed,R64,2016
116,"Chattanooga  12 seed, R64",SC,33,27-6,106.6,101.8,.6296,51.7,50.5,18.0,20.2,32.3,29.0,41.6,30.9,50.7,50.5,35.6,33.7,36.9,36.0,66.4,+0.6,Chattanooga,12 seed,R64,2016
118,"Middle Tennessee  15 seed, R32",CUSA,33,23-10,104.8,100.3,.6236,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48.0,39.2,34.7,35.6,34.3,67.6,-3.0,Middle Tennessee,15 seed,R32,2016
134,"Buffalo  14 seed, R64",MAC,34,19-15,106.1,103.4,.5752,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49.0,48.8,33.7,34.3,37.2,35.7,72.1,-5.6,Buffalo,14 seed,R64,2016
136,"Green Bay  14 seed, R64",Horz,34,21-13,107.9,105.1,.5740,49.8,51.5,15.8,21.1,30.9,32.0,42.2,35.8,48.5,50.0,35.0,36.3,31.4,33.9,76.4,-4.4,Green Bay,14 seed,R64,2016
140,"Weber St.  15 seed, R64",BSky,32,23-9,102.7,100.4,.5644,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,41.9,27.2,66.8,-3.5,Weber St.,15 seed,R64,2016
145,"UNC Asheville  15 seed, R64",BSth,32,20-12,102.3,100.5,.5500,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33.0,50.2,52.1,32.1,29.6,30.1,35.9,70.1,-6.1,UNC Asheville,15 seed,R64,2016
155,"Florida Gulf Coast  16 seed, R64",ASun,31,17-14,103.8,103.1,.5198,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,24.7,36.2,67.0,-8.3,Florida Gulf Coast,16 seed,R64,2016
226,"Austin Peay  16 seed, R64",OVC,34,16-18,104.5,110.0,.3575,51.3,53.8,20.2,18.6,31.9,30.0,47.0,31.3,51.0,53.3,34.7,36.4,31.8,39.5,69.6,-11.1,Austin Peay,16 seed,R64,2016
249,"Southern  16 seed, R68",SWAC,32,19-13,100.0,107.0,.3142,48.5,47.9,16.3,19.6,28.1,31.2,38.1,39.9,47.6,47.7,33.8,32.2,29.7,36.2,68.6,-8.0,Southern,16 seed,R68,2016
265,"Hampton  16 seed, R64",MEAC,31,20-11,99.3,108.3,.2688,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,34.7,32.9,71.0,-6.1,Hampton,16 seed,R64,2016
274,"Holy Cross  16 seed, R64",Pat,35,15-20,98.0,107.6,.2527,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,40.9,40.8,63.7,-14.3,Holy Cross,16 seed,R64,2016
288,"Fairleigh Dickinson  16 seed, R68",NEC,32,17-15,104.1,116.3,.2179,51.2,52.4,17.7,21.0,28.4,35.8,33.3,46.9,49.5,52.1,36.4,35.4,32.8,36.4,71.6,-9.7,Fairleigh Dickinson,16 seed,R68,2016
