Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Villanova  2 seed, CHAMPS",BE,40,35-5,124.0,92.0,.9688,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,42.7,37.4,65.8,+9.0,Villanova,2 seed,CHAMPS,2016
2,"Kansas  1 seed, Elite Eight",B12,37,32-5,121.6,91.4,.9639,55.7,45.1,17.8,18.5,32.2,27.9,38.6,37.3,52.7,43.4,41.3,32.5,32.8,32.5,69.2,+11.4,Kansas,1 seed,Elite Eight,2016
3,"Virginia  1 seed, Elite Eight",ACC,37,29-8,120.8,92.1,.9574,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,28.3,36.7,60.9,+8.7,Virginia,1 seed,Elite Eight,2016
4,"North Carolina  1 seed, Finals",ACC,40,33-7,124.3,96.1,.9507,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,53.9,44.6,32.7,36.2,26.7,35.6,70.8,+8.5,North Carolina,1 seed,Finals,2016
5,"Kentucky  4 seed, R32",SEC,36,27-9,123.9,96.3,.9477,53.5,44.5,16.2,18.0,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,31.0,29.6,67.3,+5.0,Kentucky,4 seed,R32,2016
6,"Michigan St.  2 seed, R64",B10,35,29-6,123.4,97.1,.9405,56.3,43.3,17.6,14.2,37.1,24.3,30.0,34.1,51.4,41.7,43.4,31.0,35.6,32.5,66.7,+7.4,Michigan St.,2 seed,R64,2016
7,"West Virginia  3 seed, R64",B12,35,26-9,115.7,91.6,.9361,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,50.3,47.7,32.5,33.1,30.6,36.3,70.0,+7.3,West Virginia,3 seed,R64,2016
8,"Oklahoma  2 seed, Final Four",B12,37,29-8,119.1,94.5,.9347,54.3,47.2,18.3,17.7,31.2,30.5,33.0,28.3,48.2,45.3,42.2,33.7,40.7,35.7,69.9,+7.9,Oklahoma,2 seed,Final Four,2016
9,"Purdue  5 seed, R64",B10,35,26-9,118.1,94.4,.9298,53.6,44.3,17.7,13.7,35.0,23.4,35.4,28.1,52.8,42.9,36.7,31.4,35.8,33.1,68.0,+4.5,Purdue,5 seed,R64,2016
10,"Wichita St.  11 seed, R32",MVC,34,25-9,111.1,89.0,.9277,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,38.1,37.0,65.9,+0.28,Wichita St.,11 seed,R32,2016
12,"Gonzaga  11 seed, Sweet Sixteen",WCC,35,27-8,118.4,95.6,.9211,55.2,44.8,17.1,15.1,32.1,26.0,34.4,28.1,54.3,44.4,37.8,30.3,35.6,32.7,67.3,+2.2,Gonzaga,11 seed,Sweet Sixteen,2016
13,"Xavier  2 seed, R32",BE,34,28-6,117.8,95.3,.9193,51.4,47.8,17.4,19.3,35.2,26.0,41.7,33.6,49.8,48.6,36.3,31.1,34.2,40.5,71.5,+7.7,Xavier,2 seed,R32,2016
14,"Miami FL  3 seed, Sweet Sixteen",ACC,35,27-8,120.3,97.7,.9165,54.2,48.3,16.5,17.4,30.1,29.5,40.7,29.1,53.2,46.9,37.5,34.4,33.9,30.4,66.1,+6.9,Miami FL,3 seed,Sweet Sixteen,2016
15,"Indiana  5 seed, Sweet Sixteen",B10,35,27-8,122.1,99.5,.9136,58.7,49.8,19.6,18.9,37.2,29.2,33.9,30.2,56.1,49.0,41.6,34.3,40.8,31.2,68.6,+3.3,Indiana,5 seed,Sweet Sixteen,2016
16,"Oregon  1 seed, Elite Eight",P12,37,30-7,119.1,97.1,.9127,52.3,48.9,16.1,20.2,34.1,30.5,40.3,32.0,52.6,46.1,34.4,36.2,34.3,34.1,68.1,+6.7,Oregon,1 seed,Elite Eight,2016
17,"Vanderbilt  11 seed, R68",SEC,33,19-14,115.2,94.3,.9096,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,38.0,30.6,67.7,-0.38,Vanderbilt,11 seed,R68,2016
18,"Texas A&M  3 seed, Sweet Sixteen",SEC,37,28-9,113.9,93.3,.9084,51.2,47.4,17.4,20.7,34.8,29.2,38.1,32.3,51.3,45.6,34.1,33.3,37.3,40.1,67.5,+5.1,Texas A&M,3 seed,Sweet Sixteen,2016
19,"Duke  4 seed, Sweet Sixteen",ACC,36,25-11,121.9,100.0,.9075,53.7,49.5,14.3,17.4,33.2,34.7,40.6,25.3,51.0,48.9,38.5,34.0,39.9,29.6,67.8,+4.2,Duke,4 seed,Sweet Sixteen,2016
20,"Iowa St.  4 seed, Sweet Sixteen",B12,35,23-12,122.1,100.2,.9068,57.1,49.8,15.7,16.8,26.2,30.1,26.1,24.9,56.7,49.5,38.7,33.5,35.1,35.6,71.5,+3.5,Iowa St.,4 seed,Sweet Sixteen,2016
21,"Arizona  6 seed, R64",P12,34,25-9,116.8,96.8,.8968,53.6,46.2,18.2,16.0,35.0,24.9,43.8,29.3,52.2,45.7,38.1,31.6,29.4,31.3,68.2,+3.5,Arizona,6 seed,R64,2016
22,"California  4 seed, R64",P12,34,23-11,113.2,93.9,.8964,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,33.7,26.5,67.9,+2.3,California,4 seed,R64,2016
23,"Seton Hall  6 seed, R64",BE,34,25-9,111.5,92.5,.8956,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,29.7,33.0,69.5,+5.3,Seton Hall,6 seed,R64,2016
