Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Ohio St.  1 seed, Sweet Sixteen",B10,37,34-3,126.0,91.8,.9742,56.3,48.3,15.8,23.2,35.7,28.4,37.1,20.6,52.9,46.9,42.3,34.0,32.7,34.6,63.8,+11.7,Ohio St.,1 seed,Sweet Sixteen,2011
2,"Kansas  1 seed, Elite Eight",B12,38,35-3,120.9,91.0,.9633,57.0,44.5,19.1,20.1,36.7,27.9,39.3,31.9,56.8,44.5,38.2,29.8,32.4,34.6,68.0,+10.2,Kansas,1 seed,Elite Eight,2011
3,"Duke  1 seed, Sweet Sixteen",ACC,37,32-5,120.6,91.5,.9600,53.7,44.5,17.2,21.0,35.1,33.2,37.4,29.6,52.5,43.1,37.4,32.4,35.3,24.5,68.5,+9.3,Duke,1 seed,Sweet Sixteen,2011
4,"Texas  4 seed, R32",B12,36,28-8,115.5,90.0,.9460,50.2,42.5,17.3,18.8,38.2,30.6,43.1,30.7,48.1,41.9,37.6,29.5,25.5,26.1,65.5,+5.4,Texas,4 seed,R32,2011
5,"Kentucky  4 seed, Final Four",SEC,38,29-9,119.3,93.4,.9437,52.3,44.2,16.1,18.2,34.3,30.7,36.1,30.1,48.8,42.4,39.7,32.4,32.4,29.7,64.8,+5.2,Kentucky,4 seed,Final Four,2011
6,"Pittsburgh  1 seed, R32",BE,34,28-6,119.8,94.1,.9413,52.9,45.1,18.4,17.5,42.9,28.6,43.1,32.3,50.5,43.2,39.5,32.6,27.4,33.0,62.2,+7.5,Pittsburgh,1 seed,R32,2011
7,"Wisconsin  4 seed, Sweet Sixteen",B10,34,25-9,123.1,97.8,.9333,51.8,48.2,13.1,16.8,33.8,27.1,29.5,32.9,48.9,45.2,37.4,37.0,41.2,29.4,56.5,+5.6,Wisconsin,4 seed,Sweet Sixteen,2011
8,"Notre Dame  2 seed, R32",BE,34,27-7,123.1,98.1,.9317,53.5,46.7,16.4,15.8,33.4,29.5,45.1,25.6,50.7,43.6,38.6,35.3,38.6,33.2,63.0,+7.7,Notre Dame,2 seed,R32,2011
9,"Purdue  3 seed, R32",B10,34,26-8,115.2,92.0,.9296,50.7,46.0,15.7,21.2,32.4,29.7,34.4,30.4,48.8,44.9,36.4,32.6,33.0,27.9,65.6,+7.0,Purdue,3 seed,R32,2011
10,"San Diego St.  2 seed, Sweet Sixteen",MWC,35,32-3,113.7,90.9,.9290,50.5,44.1,16.9,19.4,37.5,29.8,31.1,28.0,50.2,42.7,34.2,31.6,30.0,29.6,62.2,+8.7,San Diego St.,2 seed,Sweet Sixteen,2011
11,"North Carolina  2 seed, Elite Eight",ACC,37,29-8,112.7,90.7,.9242,49.1,46.2,18.3,19.6,37.1,30.1,37.9,24.8,49.1,44.4,32.8,33.1,25.0,34.5,70.4,+7.3,North Carolina,2 seed,Elite Eight,2011
12,"Illinois  9 seed, R32",B10,34,20-14,114.9,92.5,.9232,52.9,45.7,19.2,18.3,31.7,31.5,28.2,32.7,50.5,45.7,38.7,30.5,31.4,34.8,65.2,+1.4,Illinois,9 seed,R32,2011
13,"Connecticut  3 seed, CHAMPS",BE,41,32-9,115.8,93.6,.9201,48.2,44.5,17.1,17.4,38.7,34.1,33.8,26.8,47.7,42.4,32.9,32.7,29.3,32.2,64.2,+6.8,Connecticut,3 seed,CHAMPS,2011
14,"Louisville  4 seed, R64",BE,35,25-10,111.8,90.6,.9182,52.6,44.5,19.0,23.4,34.8,35.2,29.9,39.8,51.5,43.4,36.2,31.1,40.7,33.0,66.6,+4.6,Louisville,4 seed,R64,2011
15,"Syracuse  3 seed, R32",BE,34,26-8,115.0,93.2,.9178,53.2,45.2,18.8,20.7,36.6,33.5,35.9,29.7,52.9,44.4,35.8,31.1,31.5,38.5,64.9,+6.0,Syracuse,3 seed,R32,2011
16,"BYU  3 seed, Sweet Sixteen",MWC,36,31-5,117.2,95.2,.9157,51.6,46.7,15.2,20.2,30.8,28.5,38.1,33.6,50.2,45.2,35.9,33.3,37.8,30.5,70.0,+7.2,BYU,3 seed,Sweet Sixteen,2011
17,"Florida  2 seed, Elite Eight",SEC,37,29-8,116.4,95.4,.9081,52.1,47.2,18.7,19.1,37.2,30.0,35.7,27.8,51.7,47.5,35.2,31.1,31.7,33.2,62.4,+5.2,Florida,2 seed,Elite Eight,2011
18,"Washington  7 seed, R32",P10,35,24-11,118.4,97.1,.9066,53.7,46.4,16.8,20.4,37.7,31.9,31.5,44.0,52.5,45.3,37.1,32.8,36.3,27.7,70.4,+1.7,Washington,7 seed,R32,2011
19,"West Virginia  5 seed, R32",BE,33,21-12,115.5,95.2,.9024,48.5,45.9,18.8,18.6,40.2,35.5,40.9,36.0,47.5,47.0,33.7,29.1,33.5,32.4,62.1,+2.9,West Virginia,5 seed,R32,2011
