Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Connecticut  4 seed, CHAMPS",BE,39,31-8,121.5,91.2,.9643,53.9,44.4,18.9,18.5,38.5,26.1,30.8,37.8,53.6,44.4,36.3,29.7,41.7,30.4,66.7,+5.0,Connecticut,4 seed,CHAMPS,2023
2,"Alabama  1 seed, Sweet Sixteen",SEC,37,31-6,116.1,89.0,.9548,52.1,41.3,18.7,15.8,34.2,27.9,36.6,32.6,53.8,40.8,33.5,28.3,47.2,30.0,72.6,+10.2,Alabama,1 seed,Sweet Sixteen,2023
3,"Houston  1 seed, Sweet Sixteen",Amer,37,33-4,117.3,90.3,.9532,52.3,42.7,15.4,21.1,37.1,27.7,28.9,35.7,53.1,43.4,34.0,27.9,37.9,43.5,63.4,+8.0,Houston,1 seed,Sweet Sixteen,2023
4,"UCLA  2 seed, Sweet Sixteen",P12,37,31-6,114.9,88.5,.9528,51.1,46.8,14.9,23.3,33.0,28.2,27.4,27.5,50.6,46.9,34.9,31.1,29.0,38.8,66.1,+8.4,UCLA,2 seed,Sweet Sixteen,2023
5,"Tennessee  4 seed, Sweet Sixteen",SEC,36,25-11,111.2,87.5,.9401,49.9,42.8,18.1,22.2,36.4,26.9,30.7,33.8,50.3,45.1,32.8,26.5,40.1,41.8,65.1,+2.8,Tennessee,4 seed,Sweet Sixteen,2023
6,"Texas  2 seed, Elite Eight",B12,38,29-9,116.1,91.8,.9371,53.3,48.1,16.3,22.1,28.3,29.0,30.5,33.7,54.0,47.9,34.7,32.4,34.5,34.8,68.5,+7.5,Texas,2 seed,Elite Eight,2023
7,"Purdue  1 seed, R64",B10,35,29-6,117.9,93.7,.9333,51.8,47.2,17.2,15.4,38.4,23.5,37.2,19.2,54.1,47.2,32.2,31.3,38.4,35.5,63.9,+9.4,Purdue,1 seed,R64,2023
8,"Arizona  2 seed, R64",P12,35,28-7,119.4,95.4,.9292,56.5,47.1,18.4,16.9,30.7,26.1,35.8,25.5,56.4,46.2,37.8,32.3,37.7,38.7,72.2,+7.6,Arizona,2 seed,R64,2023
9,"Gonzaga  3 seed, Elite Eight",WCC,37,31-6,123.2,99.0,.9251,57.6,51.4,14.8,17.8,31.2,25.6,34.1,26.0,58.2,50.6,37.5,35.2,32.6,39.0,70.1,+6.6,Gonzaga,3 seed,Elite Eight,2023
10,"Saint Mary's  5 seed, R32",WCC,35,27-8,112.1,90.5,.9213,52.0,47.1,16.4,19.2,32.6,21.9,32.0,29.9,50.8,45.7,36.1,33.3,36.8,32.0,61.9,+3.4,Saint Mary's,5 seed,R32,2023
11,"San Diego St.  5 seed, Finals",MWC,39,32-7,110.8,89.5,.9205,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,48.4,49.3,34.0,28.3,33.9,40.0,65.7,+5.7,San Diego St.,5 seed,Finals,2023
12,"Marquette  2 seed, R32",BE,36,29-7,118.7,96.0,.9197,56.0,51.0,15.3,22.5,26.2,31.7,27.0,29.1,58.2,50.3,35.3,34.7,42.0,37.5,68.4,+7.8,Marquette,2 seed,R32,2023
13,"Creighton  6 seed, Elite Eight",BE,37,24-13,115.0,93.2,.9177,54.2,47.1,16.6,13.9,25.3,23.5,28.4,19.7,55.1,45.7,35.4,33.6,41.7,29.5,67.7,+2.2,Creighton,6 seed,Elite Eight,2023
14,"Kansas  1 seed, R32",B12,36,28-8,113.8,92.3,.9177,52.6,47.0,17.5,20.2,28.7,28.7,29.8,31.1,53.0,47.2,34.7,31.0,33.8,35.3,69.0,+10.1,Kansas,1 seed,R32,2023
15,"Duke  5 seed, R32",ACC,36,27-9,113.3,92.9,.9072,51.1,46.0,18.3,16.5,35.9,26.1,29.9,23.7,51.5,46.2,33.5,30.5,35.3,35.6,64.9,+4.5,Duke,5 seed,R32,2023
16,"Memphis  8 seed, R64",Amer,35,26-9,115.4,95.0,.9030,53.0,46.7,18.3,20.8,31.2,32.7,35.4,34.4,53.1,47.1,35.3,30.8,29.1,42.9,71.0,+4.7,Memphis,8 seed,R64,2023
17,"Baylor  3 seed, R32",B12,34,23-11,121.7,100.6,.8992,53.2,51.6,17.9,19.9,34.4,30.9,36.8,31.3,51.6,53.3,36.8,32.5,44.9,37.9,66.9,+5.2,Baylor,3 seed,R32,2023
18,"West Virginia  9 seed, R64",B12,34,19-15,117.2,97.5,.8935,51.5,50.9,18.5,20.9,34.0,29.3,39.4,38.7,50.9,50.8,35.0,34.0,36.3,35.1,68.4,+1.5,West Virginia,9 seed,R64,2023
19,"Arkansas  8 seed, Sweet Sixteen",SEC,36,22-14,111.9,93.3,.8894,50.9,47.2,18.1,20.5,30.8,27.9,39.3,39.5,52.5,47.4,31.3,31.1,27.7,30.5,69.5,+0.38,Arkansas,8 seed,Sweet Sixteen,2023
20,"Xavier  3 seed, Sweet Sixteen",BE,37,27-10,118.0,98.5,.8891,55.2,50.3,17.2,16.2,30.8,25.0,31.4,27.0,53.8,48.6,39.0,35.8,31.2,33.5,70.5,+5.4,Xavier,3 seed,Sweet Sixteen,2023
21,"Auburn  9 seed, R32",SEC,34,21-13,113.1,94.9,.8829,49.5,45.7,17.7,18.9,32.8,32.4,36.3,38.9,50.7,47.0,31.5,28.8,35.2,34.5,67.6,+1.1,Auburn,9 seed,R32,2023
22,"Florida Atlantic  9 seed, Final Four",CUSA,39,35-4,114.0,95.8,.8815,54.3,46.1,16.9,17.7,31.4,25.4,29.6,26.3,53.8,44.7,36.6,32.4,43.9,34.7,67.5,+4.7,Florida Atlantic,9 seed,Final Four,2023
23,"Texas A&M  7 seed, R64",SEC,35,25-10,113.8,95.7,.8808,48.8,48.2,18.3,20.9,36.7,30.4,45.1,34.7,48.8,47.2,32.6,33.0,34.5,45.7,66.0,+3.7,Texas A&M,7 seed,R64,2023
24,"Kansas St.  3 seed, Elite Eight",B12,36,26-10,112.6,94.7,.8803,52.3,48.1,19.3,21.0,29.9,30.3,36.1,36.3,52.8,49.2,34.3,30.8,36.1,36.9,69.8,+4.2,Kansas St.,3 seed,Elite Eight,2023
25,"Michigan St.  7 seed, Sweet Sixteen",B10,34,21-13,114.4,96.4,.8771,51.7,48.6,16.4,14.8,27.6,25.2,27.2,28.0,48.2,48.7,39.3,32.4,33.0,38.5,64.6,+2.4,Michigan St.,7 seed,Sweet Sixteen,2023
26,"Kentucky  6 seed, R32",SEC,34,22-12,115.7,97.7,.8738,50.6,48.6,17.4,16.6,39.2,25.0,31.9,29.9,50.0,48.6,34.7,32.4,30.0,35.5,65.8,+1.6,Kentucky,6 seed,R32,2023
27,"Miami FL  5 seed, Final Four",ACC,37,29-8,119.1,100.9,.8715,54.3,51.2,16.1,18.1,31.8,28.8,30.7,24.0,53.8,51.8,36.8,33.5,34.2,38.5,68.6,+3.7,Miami FL,5 seed,Final Four,2023
