Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Houston  1 seed, ✅",B12,34,30-4,124.8,88.0,.9823,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49.0,43.9,39.8,30.9,34.5,43.1,61.4,+11.5,Houston,1 seed,✅,2025
2,"Duke  1 seed, ✅",ACC,34,31-3,128.5,91.3,.9808,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58.0,43.4,37.7,30.9,45.4,37.9,65.7,+9.6,Duke,1 seed,✅,2025
3,"Auburn  1 seed, ✅",SEC,33,28-5,129.1,93.7,.9756,55.7,46.0,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,67.8,+12.5,Auburn,1 seed,✅,2025
4,"Florida  1 seed, ✅",SEC,34,30-4,127.7,94.0,.9714,55.0,45.3,15.0,17.0,38.1,28.8,32.6,33.0,56.4,45.9,35.5,29.6,43.6,37.3,69.5,+11.1,Florida,1 seed,✅,2025
5,"Alabama  2 seed, ✅",SEC,33,25-8,127.6,96.4,.9620,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35.0,30.8,46.2,35.1,74.6,+9.8,Alabama,2 seed,✅,2025
6,"Tennessee  2 seed, ✅",SEC,34,27-7,119.3,91.1,.9570,52.8,44.4,16.0,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34.0,27.8,43.0,45.1,63.8,+9.3,Tennessee,2 seed,✅,2025
7,"Texas Tech  3 seed, ✅",B12,33,25-8,126.0,96.7,.9545,55.5,48.0,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,65.6,+5.8,Texas Tech,3 seed,✅,2025
8,"Iowa St.  3 seed, ✅",B12,33,24-9,118.9,92.3,.9481,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,68.5,+5.4,Iowa St.,3 seed,✅,2025
9,"Arizona  4 seed, ✅",B12,34,22-12,123.9,96.5,.9469,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,69.9,+5.4,Arizona,4 seed,✅,2025
10,"Maryland  4 seed, ✅",B10,33,25-8,117.8,92.0,.9450,53.8,47.0,14.5,20.2,31.0,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,69.8,+4.6,Maryland,4 seed,✅,2025
11,"Gonzaga  8 seed, ✅",WCC,33,25-8,123.3,96.4,.9443,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,33.5,40.6,70.1,+2.7,Gonzaga,8 seed,✅,2025
12,"Wisconsin  3 seed, ✅",B10,35,26-9,122.4,96.1,.9416,53.6,47.9,14.1,14.5,28.0,26.6,33.8,28.1,54.7,46.8,34.9,33.0,48.1,39.1,67.5,+5.9,Wisconsin,3 seed,✅,2025
13,"Michigan St.  2 seed, ✅",B10,33,27-6,116.8,91.8,.9409,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,32.7,41.4,67.9,+7.8,Michigan St.,2 seed,✅,2025
14,"BYU  6 seed, ✅",B12,33,24-9,125.5,99.1,.9378,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,48.3,44.4,67.2,+4.8,BYU,6 seed,✅,2025
15,"St. John's  2 seed, ✅",BE,34,30-4,112.6,89.1,.9364,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,30.3,40.8,70.1,+7.8,St. John's,2 seed,✅,2025
16,"Missouri  6 seed, ✅",SEC,33,22-11,127.0,100.8,.9343,56.2,50.7,15.2,20.0,33.7,32.2,46.8,35.3,56.7,51.1,37.0,33.4,41.5,38.2,68.1,+3.0,Missouri,6 seed,✅,2025
17,"Kentucky  3 seed, ✅",SEC,33,22-11,123.8,98.7,.9316,56.0,50.4,15.2,14.0,28.7,25.9,35.9,31.0,55.9,53.7,37.4,30.8,41.7,43.5,70.9,+5.5,Kentucky,3 seed,✅,2025
18,"Purdue  4 seed, ✅",B10,33,22-11,125.0,100.0,.9286,56.3,52.0,15.6,17.8,31.0,29.9,34.6,31.0,55.5,56.4,38.5,30.7,38.1,42.7,65.0,+4.2,Purdue,4 seed,✅,2025
19,"Louisville  8 seed, ✅",ACC,34,27-7,118.3,94.7,.9286,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57.0,48.3,33.0,33.7,48.1,39.7,68.8,+5.5,Louisville,8 seed,✅,2025
20,"Clemson  5 seed, ✅",ACC,33,27-6,118.3,94.8,.9273,53.6,48.9,15.7,20.1,33.7,29.9,28.2,27.6,52.3,49.3,37.2,32.2,38.4,38.3,64.3,+4.9,Clemson,5 seed,✅,2025
21,"Kansas  7 seed, ✅",B12,33,21-12,116.1,93.1,.9272,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28.0,53.4,46.1,35.2,30.9,34.3,40.7,68.3,+4.1,Kansas,7 seed,✅,2025
