Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Kansas  1 seed, CHAMPS",B12,40,37-3,122.1,86.4,.9815,56.6,44.3,19.1,22.4,37.6,29.1,36.4,31.0,55.4,41.2,39.7,32.8,29.3,38.3,67.0,+9.9,Kansas,1 seed,CHAMPS,2008
2,"Memphis  1 seed, Finals",CUSA,40,38-2,117.7,86.9,.9703,52.7,43.4,16.6,22.5,37.8,29.6,40.4,31.7,52.9,42.6,34.9,30.2,35.2,28.7,68.5,+9.0,Memphis,1 seed,Finals,2008
3,"UCLA  1 seed, Final Four",P10,39,35-4,116.9,87.7,.9647,52.2,46.5,19.1,21.8,39.2,27.2,37.3,25.6,52.4,45.4,34.4,32.9,28.0,27.5,64.4,+10.7,UCLA,1 seed,Final Four,2008
4,"North Carolina  1 seed, Final Four",ACC,39,36-3,123.6,92.8,.9643,53.0,48.2,18.8,21.1,42.5,29.0,38.0,25.7,52.1,47.8,37.2,32.6,22.6,34.2,73.0,+11.9,North Carolina,1 seed,Final Four,2008
5,"Wisconsin  3 seed, Sweet Sixteen",B10,36,31-5,113.3,86.3,.9580,50.6,43.4,19.5,21.9,36.2,28.6,39.9,25.4,49.3,41.7,35.6,31.3,31.8,33.0,61.4,+8.2,Wisconsin,3 seed,Sweet Sixteen,2008
6,"Louisville  3 seed, Elite Eight",BE,36,27-9,112.8,87.4,.9494,53.1,44.1,20.2,21.7,33.4,30.9,36.5,33.5,53.5,43.1,35.0,30.5,38.7,34.6,65.5,+4.7,Louisville,3 seed,Elite Eight,2008
7,"Duke  2 seed, R32",ACC,34,28-6,116.6,90.8,.9466,53.6,47.6,18.3,24.7,33.9,33.7,40.9,31.9,51.7,47.0,37.7,32.9,39.2,25.0,71.8,+8.9,Duke,2 seed,R32,2008
8,"Texas  2 seed, Elite Eight",B12,38,31-7,121.3,94.7,.9450,51.5,45.7,14.2,17.9,36.3,33.6,32.0,31.0,48.5,43.2,38.0,33.2,34.9,38.1,63.0,+8.4,Texas,2 seed,Elite Eight,2008
9,"Georgetown  2 seed, R32",BE,34,28-6,113.7,88.8,.9450,56.7,41.9,21.3,19.8,33.1,32.7,34.0,36.0,56.2,40.5,38.4,29.6,40.2,35.5,61.3,+7.7,Georgetown,2 seed,R32,2008
10,"Washington St.  4 seed, Sweet Sixteen",P10,35,26-9,114.1,90.7,.9332,53.7,46.7,17.0,21.9,27.8,29.8,38.5,28.4,53.0,45.3,36.8,33.1,33.9,32.4,58.3,+4.9,Washington St.,4 seed,Sweet Sixteen,2008
11,"Stanford  3 seed, Sweet Sixteen",P10,36,28-8,113.5,90.7,.9291,49.8,44.3,18.8,17.7,39.1,29.2,39.6,32.8,48.0,42.1,36.6,33.3,27.1,28.3,63.5,+6.7,Stanford,3 seed,Sweet Sixteen,2008
12,"Marquette  6 seed, R32",BE,35,25-10,114.8,92.0,.9276,50.6,46.3,18.7,23.9,38.2,33.4,37.5,41.0,49.0,46.7,35.8,30.4,33.6,31.1,66.9,+3.8,Marquette,6 seed,R32,2008
13,"Clemson  5 seed, R64",ACC,34,24-10,113.9,91.3,.9269,51.9,48.1,20.3,24.6,39.8,36.4,30.6,33.8,49.7,49.0,37.5,30.4,33.3,28.6,67.9,+4.4,Clemson,5 seed,R64,2008
14,"Davidson  10 seed, Elite Eight",SC,36,29-7,115.4,92.6,.9268,54.1,49.3,17.3,24.3,32.4,28.5,26.3,37.3,54.1,47.0,36.1,35.5,40.6,37.8,66.8,+1.6,Davidson,10 seed,Elite Eight,2008
15,"Tennessee  2 seed, Sweet Sixteen",SEC,36,31-5,115.3,92.5,.9266,52.4,49.1,18.2,24.7,36.2,34.6,38.0,39.6,51.5,50.3,35.8,31.2,38.9,35.9,71.1,+9.2,Tennessee,2 seed,Sweet Sixteen,2008
16,"Xavier  3 seed, Elite Eight",A10,37,30-7,116.3,94.2,.9180,54.6,47.1,19.8,19.6,35.8,30.1,42.4,31.4,52.2,45.2,39.1,33.6,36.5,36.5,64.1,+4.7,Xavier,3 seed,Elite Eight,2008
17,"Michigan St.  5 seed, Sweet Sixteen",B10,36,27-9,115.3,93.6,.9172,52.6,46.0,21.1,18.9,39.5,31.6,33.5,33.1,51.6,45.6,37.1,31.1,24.4,37.2,63.6,+5.1,Michigan St.,5 seed,Sweet Sixteen,2008
18,"Texas A&M  9 seed, R32",B12,36,25-11,112.8,92.1,.9118,52.0,44.9,19.2,17.4,35.0,28.1,41.8,26.7,51.2,42.2,35.7,33.8,30.1,31.2,62.1,+3.0,Texas A&M,9 seed,R32,2008
19,"West Virginia  7 seed, Sweet Sixteen",BE,37,26-11,114.5,93.6,.9106,51.4,48.0,16.4,22.8,34.4,31.2,36.6,39.7,50.1,45.2,36.0,35.8,33.9,32.4,63.9,+2.6,West Virginia,7 seed,Sweet Sixteen,2008
20,"Kansas St.  11 seed, R32",B12,33,21-12,115.2,94.4,.9086,49.5,48.3,20.8,22.2,42.3,30.3,37.4,38.3,50.2,44.9,32.0,37.2,32.2,31.5,70.1,+1.0,Kansas St.,11 seed,R32,2008
21,"Drake  5 seed, R64",MVC,33,28-5,120.0,98.6,.9053,52.6,50.4,18.0,24.1,36.7,33.1,35.2,23.9,50.5,49.5,36.7,34.5,46.1,39.4,62.8,+5.2,Drake,5 seed,R64,2008
22,"Purdue  6 seed, R32",B10,34,25-9,110.8,91.4,.9011,49.1,49.1,19.1,26.0,33.1,30.9,37.1,42.6,45.3,47.6,37.3,34.8,35.7,31.5,66.8,+3.8,Purdue,6 seed,R32,2008
23,"Pittsburgh  4 seed, R32",BE,37,27-10,116.9,96.8,.8979,50.8,47.9,18.2,20.9,39.3,33.9,36.1,28.6,50.8,46.8,33.8,33.4,30.4,34.4,63.6,+5.2,Pittsburgh,4 seed,R32,2008
24,"Connecticut  4 seed, R64",BE,33,24-9,115.6,95.9,.8961,50.6,44.2,19.4,17.3,39.5,34.2,48.1,23.5,49.5,40.5,36.1,34.8,24.7,32.0,67.3,+4.3,Connecticut,4 seed,R64,2008
25,"Arizona  10 seed, R64",P10,34,19-15,116.1,96.4,.8949,53.9,48.7,18.6,19.0,27.8,33.4,40.4,30.4,51.2,47.5,39.6,34.5,32.1,28.2,63.6,+1.5,Arizona,10 seed,R64,2008
26,"Gonzaga  7 seed, R64",WCC,33,25-8,113.4,94.1,.8949,54.5,45.7,20.7,21.6,34.6,29.7,39.7,32.1,53.7,43.8,37.5,32.7,31.9,37.2,66.7,+2.2,Gonzaga,7 seed,R64,2008
27,"Notre Dame  5 seed, R32",BE,33,25-8,115.4,96.0,.8923,52.2,46.6,18.3,17.5,36.2,30.7,34.0,23.0,47.8,44.8,40.5,33.5,33.6,33.2,68.9,+4.4,Notre Dame,5 seed,R32,2008
28,"Butler  7 seed, R32",Horz,34,30-4,115.0,95.7,.8917,54.1,48.0,16.9,22.9,29.8,32.2,36.7,32.6,51.3,48.2,38.0,31.8,48.5,31.7,59.5,+4.8,Butler,7 seed,R32,2008
29,"USC  6 seed, R64",P10,33,21-12,110.1,91.8,.8902,53.3,44.8,21.9,20.0,31.1,35.0,38.7,27.9,51.5,44.1,38.7,30.7,27.8,34.7,65.7,+3.6,USC,6 seed,R64,2008
30,"Indiana  8 seed, R64",B10,33,25-8,114.8,95.8,.8890,52.3,47.3,20.0,19.8,36.1,29.1,41.9,31.0,52.3,45.1,34.9,34.1,34.9,35.7,66.8,+4.7,Indiana,8 seed,R64,2008
34,"Mississippi St.  8 seed, R32",SEC,34,23-11,108.5,92.0,.8702,52.2,42.5,21.4,17.8,34.7,32.7,39.0,28.0,53.3,39.8,33.4,31.7,36.6,35.1,66.8,+0.6,Mississippi St.,8 seed,R32,2008
35,"BYU  8 seed, R64",MWC,35,27-8,106.7,90.8,.8649,53.2,43.2,20.1,19.7,30.6,26.4,37.3,30.5,51.6,42.8,37.3,29.5,38.8,29.7,68.5,+2.6,BYU,8 seed,R64,2008
37,"Miami FL  7 seed, R32",ACC,34,23-11,112.3,96.0,.8576,49.2,47.0,19.0,20.6,35.1,34.0,39.2,35.4,45.7,43.7,37.9,35.6,31.0,34.1,66.0,+1.6,Miami FL,7 seed,R32,2008
38,"Arkansas  9 seed, R32",SEC,35,23-12,111.5,95.4,.8570,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,30.3,34.6,66.9,+0.6,Arkansas,9 seed,R32,2008
