Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Duke  1 seed, CHAMPS",ACC,40,35-5,121.8,89.1,.9731,50.5,43.7,16.5,21.3,40.7,32.3,37.9,34.1,46.9,44.1,38.5,28.3,32.9,25.4,64.8,+8.4,Duke,1 seed,CHAMPS,2010
2,"Kansas  1 seed, R32",B12,36,33-3,121.0,91.0,.9634,55.1,43.2,18.7,20.0,38.4,31.7,41.3,31.4,52.7,40.1,40.4,33.1,30.7,32.3,67.0,+11.7,Kansas,1 seed,R32,2010
3,"Syracuse  1 seed, Sweet Sixteen",BE,35,30-5,118.5,91.4,.9521,57.6,45.9,21.4,22.0,37.1,34.3,36.9,25.6,57.1,46.2,39.1,30.2,30.9,40.2,69.5,+7.5,Syracuse,1 seed,Sweet Sixteen,2010
4,"Kentucky  1 seed, Elite Eight",SEC,38,35-3,115.5,89.1,.9520,53.0,43.1,20.3,19.7,40.9,31.8,43.6,29.7,54.5,41.1,33.1,31.3,31.3,33.8,68.1,+8.7,Kentucky,1 seed,Elite Eight,2010
5,"Ohio St.  2 seed, Sweet Sixteen",B10,37,29-8,118.0,92.8,.9409,56.1,47.1,17.5,21.8,29.5,29.4,35.8,26.4,54.8,45.1,39.0,33.7,35.4,36.1,64.5,+5.6,Ohio St.,2 seed,Sweet Sixteen,2010
6,"Kansas St.  2 seed, Elite Eight",B12,36,28-8,116.9,92.0,.9405,50.6,46.8,19.9,23.5,40.6,34.0,50.3,47.3,49.0,45.2,36.1,33.7,32.1,30.3,68.9,+6.7,Kansas St.,2 seed,Elite Eight,2010
7,"Baylor  3 seed, Elite Eight",B12,35,27-8,120.4,95.3,.9367,54.4,44.5,20.3,17.8,38.2,33.2,36.1,34.2,53.0,41.3,38.1,33.7,32.4,34.4,64.1,+5.5,Baylor,3 seed,Elite Eight,2010
8,"West Virginia  2 seed, Final Four",BE,38,31-7,117.3,92.8,.9361,48.9,46.9,18.3,20.6,42.0,32.1,39.6,39.1,48.0,46.1,33.7,32.4,34.8,32.2,62.0,+8.0,West Virginia,2 seed,Final Four,2010
9,"Wisconsin  4 seed, R32",B10,33,24-9,116.1,92.1,.9350,51.4,46.8,14.5,19.9,30.2,26.4,32.5,36.0,50.0,45.1,35.7,34.3,39.4,25.3,58.8,+3.8,Wisconsin,4 seed,R32,2010
10,"Purdue  4 seed, Sweet Sixteen",B10,35,29-6,109.2,87.7,.9260,49.1,44.8,16.3,23.4,29.4,31.8,38.6,36.8,49.7,41.6,31.8,35.4,30.0,28.1,66.0,+6.5,Purdue,4 seed,Sweet Sixteen,2010
11,"BYU  7 seed, R32",MWC,35,29-6,117.7,94.6,.9248,54.9,46.6,15.9,22.0,30.8,28.1,38.9,36.4,51.3,44.6,41.4,33.8,33.2,32.3,70.3,+4.1,BYU,7 seed,R32,2010
12,"Texas A&M  5 seed, R32",B12,33,23-10,112.3,91.1,.9169,49.6,46.7,18.4,20.6,33.5,29.7,48.4,35.4,49.0,44.9,33.8,33.6,34.3,33.3,64.6,+4.3,Texas A&M,5 seed,R32,2010
13,"California  8 seed, R32",P10,35,24-11,120.4,97.8,.9161,53.3,48.3,17.7,18.7,34.7,31.1,35.4,33.3,52.0,48.8,37.4,31.6,30.0,31.0,66.8,+1.7,California,8 seed,R32,2010
14,"Butler  5 seed, Finals",Horz,38,33-5,109.8,89.6,.9125,51.0,46.6,18.7,21.6,30.4,27.4,46.9,34.6,50.9,46.1,34.2,31.7,39.8,31.6,62.9,+4.6,Butler,5 seed,Finals,2010
15,"Maryland  4 seed, R32",ACC,32,23-9,118.3,96.7,.9101,51.8,45.0,16.3,21.3,35.3,36.8,33.9,29.6,49.9,42.2,38.6,34.0,24.7,31.8,68.8,+3.3,Maryland,4 seed,R32,2010
16,"Georgetown  3 seed, R64",BE,34,23-11,116.8,95.9,.9061,55.7,47.4,20.9,19.7,33.1,32.2,37.0,33.4,54.7,46.0,38.7,33.4,30.2,34.2,65.2,+4.3,Georgetown,3 seed,R64,2010
17,"Clemson  7 seed, R64",ACC,32,21-11,111.4,91.5,.9055,51.1,46.4,21.4,24.6,36.5,33.5,34.8,35.4,50.9,47.3,34.2,29.4,33.6,28.5,68.0,+1.5,Clemson,7 seed,R64,2010
18,"Xavier  6 seed, Sweet Sixteen",A10,35,26-9,116.6,95.8,.9052,52.2,45.6,18.0,17.8,35.2,29.9,41.9,32.9,50.1,46.0,37.7,29.8,31.9,31.2,68.3,+2.9,Xavier,6 seed,Sweet Sixteen,2010
19,"Temple  5 seed, R64",A10,35,29-6,108.2,89.0,.9049,49.1,43.0,16.8,18.1,32.4,27.9,27.4,26.9,48.4,43.1,33.7,28.5,31.2,32.6,60.0,+5.4,Temple,5 seed,R64,2010
