Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Louisville  1 seed, CHAMPS",BE,40,35-5,117.0,86.0,.9718,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,50.8,43.4,33.3,31.8,30.0,33.3,65.8,+9.0,Louisville,1 seed,CHAMPS,2013
2,"Florida  3 seed, Elite Eight",SEC,37,29-8,116.9,87.1,.9670,55.2,43.3,17.8,22.5,34.2,28.4,31.0,29.9,54.3,41.8,37.8,31.0,39.5,32.8,61.5,+4.2,Florida,3 seed,Elite Eight,2013
3,"Indiana  1 seed, Sweet Sixteen",B10,36,29-7,122.0,91.2,.9660,54.7,44.0,19.3,20.9,39.0,31.4,45.8,27.0,52.0,43.2,40.3,30.4,32.3,32.8,66.4,+7.7,Indiana,1 seed,Sweet Sixteen,2013
4,"Gonzaga  1 seed, R32",WCC,34,31-3,120.1,91.6,.9573,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55.0,42.1,36.5,32.9,31.5,38.8,63.8,+7.8,Gonzaga,1 seed,R32,2013
5,"Syracuse  4 seed, Final Four",BE,40,30-10,113.8,88.4,.9480,49.0,42.6,18.9,23.6,38.8,34.5,36.8,35.4,48.5,42.6,33.4,28.4,30.4,40.3,64.0,+5.1,Syracuse,4 seed,Final Four,2013
6,"Michigan  4 seed, Finals",B10,38,30-8,122.6,95.3,.9478,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,53.4,47.6,37.9,32.6,34.2,33.6,63.5,+6.2,Michigan,4 seed,Finals,2013
7,"Kansas  1 seed, Sweet Sixteen",B12,37,31-6,112.8,87.6,.9478,53.3,41.5,20.3,18.4,33.8,29.3,39.5,32.0,52.9,39.3,36.4,30.3,29.0,35.6,66.3,+7.5,Kansas,1 seed,Sweet Sixteen,2013
8,"Duke  2 seed, Elite Eight",ACC,36,30-6,119.5,93.0,.9472,53.9,45.5,15.6,20.4,28.8,32.3,39.2,32.7,50.8,46.2,39.9,29.0,33.3,26.9,66.4,+7.6,Duke,2 seed,Elite Eight,2013
9,"Ohio St.  2 seed, Elite Eight",B10,37,29-8,114.7,90.9,.9357,50.6,45.4,16.2,20.7,31.8,28.2,35.5,29.5,49.4,43.6,35.6,32.4,31.0,36.2,63.9,+7.2,Ohio St.,2 seed,Elite Eight,2013
10,"Wisconsin  5 seed, R64",B10,35,23-12,108.2,85.9,.9344,48.6,43.0,15.7,18.0,32.6,26.9,29.7,25.7,48.0,42.8,33.0,28.9,40.0,24.9,60.6,+4.6,Wisconsin,5 seed,R64,2013
11,"Michigan St.  3 seed, Sweet Sixteen",B10,35,26-9,112.4,89.3,.9338,50.6,44.5,20.8,19.2,36.1,27.6,36.6,32.4,50.4,44.3,34.1,30.1,27.2,34.3,63.1,+6.7,Michigan St.,3 seed,Sweet Sixteen,2013
12,"Georgetown  2 seed, R64",BE,32,25-7,108.7,86.5,.9321,51.1,43.0,20.1,22.4,30.4,31.0,36.8,35.3,50.2,41.4,35.3,30.7,32.9,34.0,61.1,+6.5,Georgetown,2 seed,R64,2013
13,"Arizona  6 seed, Sweet Sixteen",P12,35,27-8,115.7,93.7,.9180,52.5,46.6,19.5,19.8,35.0,26.7,37.4,32.9,50.6,43.4,37.1,35.8,37.5,30.9,65.5,+4.6,Arizona,6 seed,Sweet Sixteen,2013
14,"VCU  5 seed, R32",A10,36,27-9,115.0,93.4,.9161,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,35.7,32.9,66.8,+2.7,VCU,5 seed,R32,2013
15,"Pittsburgh  8 seed, R64",BE,33,24-9,114.1,92.7,.9158,51.7,44.6,18.1,22.0,40.4,30.0,37.5,36.4,51.5,44.0,34.9,30.4,26.3,35.4,58.9,+3.1,Pittsburgh,8 seed,R64,2013
16,"Miami FL  2 seed, Sweet Sixteen",ACC,36,29-7,113.6,92.4,.9147,51.9,45.7,16.7,18.4,31.3,28.4,34.6,28.3,50.6,44.0,36.2,32.6,35.6,34.9,61.7,+6.4,Miami FL,2 seed,Sweet Sixteen,2013
17,"Saint Louis  4 seed, R32",A10,35,28-7,109.2,88.9,.9141,50.4,45.5,17.6,23.6,27.9,29.1,44.0,35.0,50.0,44.1,34.0,33.1,34.1,26.6,63.3,+3.9,Saint Louis,4 seed,R32,2013
18,"Creighton  7 seed, R32",MVC,36,28-8,117.7,96.4,.9078,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,39.4,33.2,63.9,+3.6,Creighton,7 seed,R32,2013
19,"Wichita St.  9 seed, Final Four",MVC,39,30-9,111.9,92.4,.8998,50.0,45.3,19.4,20.0,38.0,26.5,36.5,38.3,49.6,43.6,33.9,32.2,35.3,36.6,63.7,+2.3,Wichita St.,9 seed,Final Four,2013
20,"Minnesota  11 seed, R32",B10,34,21-13,113.7,94.1,.8983,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,29.7,34.7,62.8,+2.1,Minnesota,11 seed,R32,2013
21,"Marquette  3 seed, Elite Eight",BE,35,26-9,114.0,94.7,.8944,49.6,46.2,20.9,19.5,38.4,33.1,40.9,31.7,51.6,44.9,29.6,32.3,26.9,35.9,63.3,+4.5,Marquette,3 seed,Elite Eight,2013
22,"Oklahoma St.  5 seed, R64",B12,33,24-9,108.8,90.4,.8941,48.8,44.5,18.2,21.7,31.3,30.8,40.5,35.1,49.5,42.4,31.6,32.4,31.3,34.3,66.0,+3.2,Oklahoma St.,5 seed,R64,2013
24,"Saint Mary's  11 seed, R64",WCC,34,27-7,115.3,96.4,.8869,53.7,47.1,18.3,17.9,36.9,25.0,37.0,36.9,52.3,44.0,37.3,36.7,37.5,28.7,63.5,+2.7,Saint Mary's,11 seed,R64,2013
25,"North Carolina  8 seed, R32",ACC,35,24-11,112.7,94.5,.8832,49.3,48.0,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,30.9,32.4,70.0,+2.6,North Carolina,8 seed,R32,2013
26,"Kansas St.  4 seed, R64",B12,34,26-8,114.3,95.9,.8828,49.1,47.5,18.2,22.2,38.5,33.8,31.7,36.8,46.8,46.5,35.8,33.3,32.9,29.1,61.7,+5.4,Kansas St.,4 seed,R64,2013
27,"Missouri  9 seed, R64",SEC,34,23-11,114.6,96.6,.8762,51.2,46.1,18.9,17.6,38.7,28.6,35.0,29.7,51.4,44.1,33.9,33.2,31.5,34.9,66.3,+1.3,Missouri,9 seed,R64,2013
28,"Iowa St.  10 seed, R32",B12,35,23-12,118.3,99.8,.8757,53.8,48.0,18.5,18.6,34.2,28.5,33.0,32.7,51.9,48.8,37.4,31.1,43.8,33.3,68.2,+0.7,Iowa St.,10 seed,R32,2013
30,"UNLV  5 seed, R64",MWC,34,24-10,105.9,89.8,.8690,48.9,44.1,20.2,18.5,33.3,27.1,36.7,29.6,48.9,42.6,32.6,31.6,34.7,31.7,68.0,+1.8,UNLV,5 seed,R64,2013
31,"Colorado St.  8 seed, R32",MWC,33,24-9,117.8,99.9,.8690,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,27.3,37.0,63.5,+2.0,Colorado St.,8 seed,R32,2013
32,"San Diego St.  7 seed, R32",MWC,32,21-11,107.1,90.9,.8682,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,32.4,32.4,65.5,+0.49,San Diego St.,7 seed,R32,2013
33,"Notre Dame  7 seed, R64",BE,35,25-10,114.1,96.9,.8672,52.2,46.8,17.6,16.0,34.0,29.5,32.0,24.6,50.6,45.9,37.0,32.5,32.0,29.2,60.3,+3.8,Notre Dame,7 seed,R64,2013
34,"Illinois  7 seed, R32",B10,34,21-13,110.8,94.2,.8658,47.5,48.7,17.6,21.7,33.6,33.0,31.0,36.0,47.4,47.4,31.7,34.1,41.5,35.7,64.7,+2.4,Illinois,7 seed,R32,2013
35,"Oregon  12 seed, Sweet Sixteen",P12,37,28-9,105.9,90.1,.8657,49.3,46.4,21.4,22.0,35.8,27.2,38.4,33.3,49.1,44.9,33.3,33.4,27.3,29.8,67.8,+2.9,Oregon,12 seed,Sweet Sixteen,2013
36,"Memphis  6 seed, R32",CUSA,36,31-5,107.5,91.5,.8650,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33.0,28.6,30.4,67.9,+4.7,Memphis,6 seed,R32,2013
37,"Cincinnati  10 seed, R64",BE,34,22-12,105.5,89.9,.8641,46.2,43.3,19.4,20.3,38.7,29.8,35.5,32.7,45.5,42.3,31.6,30.4,37.1,30.4,64.2,+1.7,Cincinnati,10 seed,R64,2013
39,"New Mexico  3 seed, R64",MWC,35,29-6,108.2,92.6,.8577,48.4,45.9,17.6,19.5,29.3,27.6,45.7,25.7,46.1,42.0,35.1,34.6,34.7,39.1,64.1,+7.0,New Mexico,3 seed,R64,2013
40,"N.C. State  8 seed, R64",ACC,35,24-11,116.4,99.6,.8576,54.2,46.8,18.0,16.6,34.7,32.6,40.9,29.0,52.8,47.5,39.1,30.2,23.7,32.3,66.7,+0.00,N.C. State,8 seed,R64,2013
41,"Butler  6 seed, R32",A10,35,26-9,110.4,94.6,.8555,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,35.8,30.4,63.3,+4.8,Butler,6 seed,R32,2013
42,"La Salle  13 seed, Sweet Sixteen",A10,34,24-10,113.2,97.7,.8448,51.9,49.3,17.1,21.3,29.0,34.2,31.3,28.5,49.3,50.6,37.7,30.2,36.0,24.6,64.7,+0.47,La Salle,13 seed,Sweet Sixteen,2013
43,"Colorado  10 seed, R64",P12,33,21-12,106.1,91.7,.8423,48.3,45.9,20.0,19.4,33.6,30.4,40.9,25.3,47.0,44.7,34.4,32.0,28.9,36.5,64.2,+1.4,Colorado,10 seed,R64,2013
44,"Middle Tennessee  11 seed, R68",SB,34,28-6,106.6,92.2,.8415,51.1,44.4,20.7,23.6,36.5,29.0,41.4,42.8,49.2,43.9,37.7,30.3,26.2,31.7,63.5,+1.0,Middle Tennessee,11 seed,R68,2013
45,"Villanova  9 seed, R64",BE,33,19-14,106.4,92.1,.8403,47.3,47.3,22.9,22.0,33.1,29.5,50.6,40.9,46.0,42.4,33.2,37.3,35.3,35.9,66.4,+0.30,Villanova,9 seed,R64,2013
46,"UCLA  6 seed, R64",P12,35,25-10,111.2,96.3,.8385,49.1,47.5,15.8,19.9,30.7,34.0,33.1,24.6,48.9,46.9,33.3,32.4,24.1,30.8,68.3,+3.3,UCLA,6 seed,R64,2013
48,"Oklahoma  10 seed, R64",B12,32,20-12,111.8,97.2,.8338,47.8,47.4,17.5,19.6,33.2,31.5,35.4,31.4,47.6,46.4,32.3,32.9,26.7,34.3,65.4,+0.38,Oklahoma,10 seed,R64,2013
51,"Mississippi  12 seed, R32",SEC,36,27-9,111.2,97.0,.8283,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,33.0,36.3,69.5,+1.7,Mississippi,12 seed,R32,2013
52,"Boise St.  13 seed, R68",MWC,30,19-11,113.2,98.8,.8270,51.8,51.4,18.4,20.0,30.3,24.4,33.7,42.2,48.4,51.0,38.7,34.8,35.1,37.3,64.9,-0.11,Boise St.,13 seed,R68,2013
55,"Temple  9 seed, R32",A10,34,24-10,111.9,98.3,.8162,49.0,49.0,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,37.3,29.5,65.5,+1.6,Temple,9 seed,R32,2013
57,"California  12 seed, R32",P12,33,21-12,106.5,93.9,.8109,48.0,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,23.6,29.3,65.2,+0.5,California,12 seed,R32,2013
58,"Belmont  11 seed, R64",OVC,31,24-7,110.3,97.4,.8075,56.5,48.0,19.6,25.0,29.7,34.2,32.8,37.0,56.9,46.7,37.2,33.5,39.9,36.8,66.0,+0.35,Belmont,11 seed,R64,2013
61,"Davidson  14 seed, R64",SC,33,25-8,112.1,99.5,.7983,53.1,45.3,17.0,18.8,29.0,28.5,38.9,36.4,52.0,44.3,36.6,32.1,38.5,26.2,63.9,-1.2,Davidson,14 seed,R64,2013
62,"Bucknell  11 seed, R64",Pat,33,27-6,106.1,94.4,.7931,49.6,42.5,15.1,14.1,29.3,24.3,35.7,29.4,48.3,41.1,35.8,30.5,24.3,30.8,62.1,+1.2,Bucknell,11 seed,R64,2013
75,"Valparaiso  14 seed, R64",Horz,33,25-8,109.9,99.7,.7553,55.7,46.2,21.8,19.5,31.2,28.2,41.7,36.8,55.7,44.5,37.1,33.8,40.0,26.2,64.3,-0.6,Valparaiso,14 seed,R64,2013
81,"Akron  12 seed, R64",MAC,32,25-7,104.8,95.7,.7391,51.0,44.6,20.8,20.2,37.6,30.5,36.9,35.0,52.1,42.7,32.7,32.8,36.5,29.4,65.1,+0.6,Akron,12 seed,R64,2013
94,"New Mexico St.  13 seed, R64",WAC,34,23-11,103.9,96.6,.6976,49.3,45.4,21.9,18.6,36.9,29.8,47.0,30.7,49.8,43.2,31.8,33.9,23.8,29.6,63.7,-2.9,New Mexico St.,13 seed,R64,2013
95,"Florida Gulf Coast  15 seed, Sweet Sixteen",ASun,35,24-11,104.8,97.5,.6963,51.6,46.9,21.0,22.1,32.5,32.8,35.2,32.7,52.3,46.9,33.4,31.3,34.4,37.8,67.8,-3.9,Florida Gulf Coast,15 seed,Sweet Sixteen,2013
96,"Iona  15 seed, R64",MAAC,34,20-14,114.1,106.2,.6950,52.1,51.6,17.1,19.3,32.8,33.4,32.7,32.2,50.4,49.1,36.7,37.5,36.6,34.9,70.0,-5.7,Iona,15 seed,R64,2013
106,"South Dakota St.  13 seed, R64",Sum,32,22-10,111.1,105.0,.6591,53.3,51.2,16.4,17.1,28.9,26.1,33.0,24.4,50.4,49.8,38.9,35.8,36.3,35.1,62.6,-3.0,South Dakota St.,13 seed,R64,2013
112,"Harvard  14 seed, R32",Ivy,29,19-10,106.7,101.3,.6455,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,33.9,28.4,63.4,-2.5,Harvard,14 seed,R32,2013
133,"Pacific  15 seed, R64",BW,33,20-13,106.1,102.5,.5967,50.5,50.0,17.8,20.0,29.2,30.8,37.7,39.3,46.8,48.0,38.9,35.4,32.3,38.4,62.0,-5.0,Pacific,15 seed,R64,2013
137,"Northwestern St.  14 seed, R64",Slnd,28,19-9,106.2,103.3,.5787,49.0,47.8,19.2,21.7,34.8,37.3,40.3,40.5,50.0,46.8,31.0,33.9,29.8,25.8,71.7,-3.0,Northwestern St.,14 seed,R64,2013
145,"Albany  15 seed, R64",AE,35,24-11,102.6,100.4,.5636,49.6,48.3,21.2,19.9,31.7,28.2,40.0,27.8,46.7,47.6,37.0,33.1,32.9,34.6,61.9,-4.3,Albany,15 seed,R64,2013
166,"Western Kentucky  16 seed, R64",SB,35,19-16,101.6,101.6,.4988,48.6,47.9,22.2,20.8,34.8,30.7,37.6,37.8,48.3,47.6,32.7,32.4,36.2,31.3,64.6,-8.1,Western Kentucky,16 seed,R64,2013
167,"Montana  13 seed, R64",BSky,30,23-7,103.0,103.1,.4988,52.9,48.6,19.1,18.3,25.1,30.5,40.6,35.9,52.0,48.0,36.4,33.3,36.2,30.2,62.6,-1.2,Montana,13 seed,R64,2013
178,"James Madison  16 seed, R64",CAA,36,21-15,99.9,100.8,.4752,47.6,48.7,17.2,21.1,29.6,31.1,36.8,39.2,46.2,46.9,33.6,34.7,32.4,34.1,62.8,-8.6,James Madison,16 seed,R64,2013
182,"Southern  16 seed, R64",SWAC,30,20-10,96.9,98.2,.4622,49.1,41.9,16.8,20.2,26.2,31.1,40.3,34.9,46.0,40.5,36.7,30.0,34.9,30.3,63.6,-5.5,Southern,16 seed,R64,2013
195,"LIU  16 seed, R68",NEC,34,20-14,109.6,112.5,.4250,54.4,52.6,20.3,18.4,35.2,33.5,45.6,31.6,53.1,51.1,38.0,37.2,33.9,30.9,67.9,+0.00,LIU,16 seed,R68,2013
225,"North Carolina A&T  16 seed, R64",MEAC,36,19-17,92.0,97.0,.3540,45.7,45.2,22.7,23.4,29.8,33.2,42.6,41.1,45.4,43.4,30.7,32.0,37.0,38.1,65.5,-11.3,North Carolina A&T,16 seed,R64,2013
262,"Liberty  16 seed, R68",BSth,33,12-21,101.6,110.8,.2687,48.5,47.8,19.8,15.1,29.0,32.6,38.4,38.5,44.9,48.6,37.0,30.9,34.6,33.1,64.4,-15.3,Liberty,16 seed,R68,2013
