Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Kentucky  1 seed, CHAMPS",SEC,40,38-2,123.5,90.4,.9730,53.8,42.0,17.1,17.6,37.8,31.2,41.7,25.8,52.7,39.6,37.8,31.8,26.5,29.0,65.3,+11.3,Kentucky,1 seed,CHAMPS,2012
2,"Ohio St.  2 seed, Final Four",B10,39,31-8,117.9,88.1,.9660,52.1,46.4,17.6,22.2,35.7,25.2,38.1,29.0,52.9,45.2,33.4,32.5,26.9,35.0,67.1,+7.7,Ohio St.,2 seed,Final Four,2012
3,"Michigan St.  1 seed, Sweet Sixteen",B10,37,29-8,114.3,88.3,.9510,52.7,43.3,19.9,19.3,36.7,27.0,37.7,34.4,52.1,42.4,36.0,29.9,27.6,36.1,64.7,+8.6,Michigan St.,1 seed,Sweet Sixteen,2012
4,"Kansas  2 seed, Finals",B12,39,32-7,114.1,88.6,.9484,52.3,43.4,19.2,20.2,34.9,29.1,39.8,33.1,52.5,39.8,34.5,34.0,29.6,31.9,66.4,+8.2,Kansas,2 seed,Finals,2012
5,"North Carolina  1 seed, Elite Eight",ACC,38,32-6,116.5,90.5,.9475,49.8,45.0,16.4,18.3,39.9,27.5,37.3,21.8,49.6,43.5,33.5,31.9,23.4,35.5,71.5,+8.3,North Carolina,1 seed,Elite Eight,2012
6,"Syracuse  1 seed, Elite Eight",BE,37,34-3,117.7,93.0,.9372,52.1,44.2,16.1,24.4,36.3,39.6,32.9,31.0,51.9,42.5,34.9,31.5,31.0,36.2,64.6,+10.8,Syracuse,1 seed,Elite Eight,2012
7,"Wisconsin  4 seed, Sweet Sixteen",B10,36,26-10,114.2,90.4,.9357,50.1,42.5,15.0,18.2,30.6,27.8,30.7,29.8,46.5,42.0,36.8,29.4,41.3,24.1,57.5,+4.8,Wisconsin,4 seed,Sweet Sixteen,2012
8,"Missouri  2 seed, R64",B12,35,30-5,126.2,100.2,.9339,58.0,50.1,15.4,21.5,30.4,32.2,37.5,27.3,57.0,47.9,39.8,36.8,37.9,30.9,65.5,+8.7,Missouri,2 seed,R64,2012
9,"Wichita St.  5 seed, R64",MVC,32,26-6,116.8,93.6,.9274,53.8,44.8,17.9,18.6,33.4,26.4,34.6,32.8,53.0,43.8,36.9,31.2,32.9,32.6,65.6,+4.4,Wichita St.,5 seed,R64,2012
10,"Florida  7 seed, Elite Eight",SEC,37,26-11,121.8,97.9,.9251,54.8,47.8,16.9,19.1,33.5,30.2,33.2,29.9,53.0,46.2,38.0,34.2,44.6,32.0,64.4,+3.0,Florida,7 seed,Elite Eight,2012
11,"Indiana  4 seed, Sweet Sixteen",B10,36,27-9,121.2,98.2,.9182,55.2,48.1,19.2,20.0,35.3,31.3,44.5,34.3,51.5,46.2,43.1,34.9,27.5,31.6,66.6,+5.7,Indiana,4 seed,Sweet Sixteen,2012
12,"Vanderbilt  5 seed, R32",SEC,36,25-11,116.3,94.4,.9167,54.1,46.9,20.0,19.0,32.2,31.7,40.1,28.6,51.2,47.2,38.8,30.9,41.2,32.5,64.9,+4.0,Vanderbilt,5 seed,R32,2012
13,"Memphis  8 seed, R64",CUSA,35,26-9,113.7,92.4,.9158,54.0,43.4,18.7,20.7,31.3,32.8,41.3,38.3,53.9,42.0,36.2,31.2,26.9,31.0,67.3,+3.0,Memphis,8 seed,R64,2012
14,"Georgetown  3 seed, R32",BE,32,23-9,111.7,90.7,.9157,51.4,43.1,19.6,19.8,35.5,30.6,38.8,36.3,51.3,43.9,34.4,27.7,30.5,32.9,62.0,+4.6,Georgetown,3 seed,R32,2012
15,"Saint Louis  9 seed, R32",A10,33,25-8,111.8,90.9,.9151,51.8,45.1,17.9,23.0,31.5,29.1,35.5,37.2,50.0,44.4,36.6,31.6,36.5,25.6,61.2,+2.8,Saint Louis,9 seed,R32,2012
