Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Gonzaga  1 seed, Finals",WCC,39,37-2,118.5,87.2,.9713,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,56.3,40.0,38.2,29.0,32.8,32.1,70.2,+7.8,Gonzaga,1 seed,Finals,2017
2,"North Carolina  1 seed, CHAMPS",ACC,40,33-7,121.6,92.4,.9592,51.7,48.1,16.2,18.6,41.3,25.0,34.3,31.6,51.0,46.3,35.5,33.9,30.3,39.3,71.4,+8.3,North Carolina,1 seed,CHAMPS,2017
3,"Villanova  1 seed, R32",BE,36,32-4,122.9,93.5,.9586,57.5,48.1,17.1,20.1,30.2,27.8,35.0,22.1,59.2,49.1,36.9,31.1,43.3,40.0,64.3,+11.0,Villanova,1 seed,R32,2017
4,"Florida  4 seed, Elite Eight",SEC,36,27-9,117.3,90.0,.9548,51.6,45.8,16.9,21.0,32.1,29.5,40.2,34.0,50.3,45.7,35.9,30.5,36.6,31.3,68.9,+6.3,Florida,4 seed,Elite Eight,2017
5,"Kentucky  2 seed, Elite Eight",SEC,38,32-6,119.1,92.3,.9493,52.9,47.5,15.7,19.2,33.5,27.7,40.9,33.5,52.9,48.3,35.3,30.6,31.6,33.3,72.4,+9.0,Kentucky,2 seed,Elite Eight,2017
6,"West Virginia  4 seed, Sweet Sixteen",B12,37,28-9,116.0,90.3,.9471,51.3,48.8,17.0,27.6,37.9,31.9,38.9,42.5,49.8,46.5,36.2,35.3,32.5,36.3,70.9,+6.3,West Virginia,4 seed,Sweet Sixteen,2017
7,"Virginia  5 seed, R32",ACC,34,23-11,112.5,87.9,.9448,52.4,46.1,15.6,20.7,28.3,24.5,26.0,33.8,49.7,45.1,38.5,31.7,33.0,39.8,59.0,+5.0,Virginia,5 seed,R32,2017
8,"Louisville  2 seed, R32",ACC,34,25-9,118.2,92.4,.9447,51.4,45.7,16.0,19.6,36.7,28.5,34.0,38.8,50.5,44.8,35.5,31.6,32.1,35.6,68.1,+6.8,Louisville,2 seed,R32,2017
9,"Kansas  1 seed, Elite Eight",B12,36,31-5,122.2,95.6,.9442,56.1,48.1,17.6,18.6,34.1,29.7,36.0,30.0,53.6,45.3,40.4,35.6,35.9,34.2,70.0,+10.9,Kansas,1 seed,Elite Eight,2017
10,"Duke  2 seed, R32",ACC,37,28-9,122.8,96.5,.9408,54.8,47.4,16.3,17.3,31.7,29.8,39.3,31.2,53.5,48.9,37.9,29.3,38.3,28.8,68.3,+8.5,Duke,2 seed,R32,2017
11,"SMU  6 seed, R64",Amer,35,30-5,120.9,95.1,.9405,54.6,46.0,16.9,18.3,37.2,26.4,36.0,24.6,51.0,44.1,40.6,32.1,36.4,45.5,63.4,+6.5,SMU,6 seed,R64,2017
12,"Wichita St.  10 seed, R32",MVC,36,31-5,118.1,93.2,.9382,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42.0,40.2,31.2,36.6,38.6,68.6,+4.2,Wichita St.,10 seed,R32,2017
13,"Michigan  7 seed, Sweet Sixteen",B10,38,26-12,124.0,98.6,.9333,57.0,51.9,14.2,19.5,24.7,30.0,30.1,27.2,56.3,50.0,38.5,37.8,45.1,28.8,62.6,+3.8,Michigan,7 seed,Sweet Sixteen,2017
14,"Saint Mary's  7 seed, R32",WCC,34,29-5,118.9,94.7,.9315,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30.0,41.4,27.7,59.9,+4.0,Saint Mary's,7 seed,R32,2017
15,"Oregon  3 seed, Final Four",P12,39,33-6,118.5,94.8,.9284,55.5,46.4,17.1,19.3,32.4,29.5,34.4,26.3,54.5,46.1,38.0,31.2,38.9,37.6,67.1,+6.0,Oregon,3 seed,Final Four,2017
16,"Cincinnati  6 seed, R32",Amer,36,30-6,116.0,93.0,.9272,52.0,45.2,15.3,20.2,35.5,29.4,32.5,29.1,52.1,41.4,34.5,34.4,36.1,37.0,64.0,+5.7,Cincinnati,6 seed,R32,2017
17,"Purdue  4 seed, Sweet Sixteen",B10,35,27-8,117.3,94.1,.9260,55.7,47.7,18.3,16.6,30.8,24.4,33.3,22.9,52.7,46.6,40.3,33.2,38.3,34.0,69.1,+5.6,Purdue,4 seed,Sweet Sixteen,2017
18,"Iowa St.  5 seed, R32",B12,35,24-11,120.6,97.2,.9225,55.0,49.0,14.1,19.5,25.7,31.6,27.6,25.6,51.8,47.5,40.0,34.6,39.3,35.9,68.2,+6.4,Iowa St.,5 seed,R32,2017
19,"Wisconsin  8 seed, Sweet Sixteen",B10,37,27-10,115.3,93.1,.9216,52.1,47.5,17.0,19.5,35.9,25.9,32.9,28.0,51.1,43.1,35.9,37.6,36.9,33.5,63.0,+5.1,Wisconsin,8 seed,Sweet Sixteen,2017
20,"Oklahoma St.  10 seed, R64",B12,33,20-13,127.4,103.4,.9171,54.0,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,35.7,34.9,71.6,+3.3,Oklahoma St.,10 seed,R64,2017
21,"Notre Dame  5 seed, R32",ACC,36,26-10,120.0,97.4,.9170,53.6,49.1,14.0,18.7,27.3,30.8,28.6,26.7,50.9,48.2,38.4,33.8,40.6,34.8,66.9,+5.9,Notre Dame,5 seed,R32,2017
22,"Baylor  3 seed, Sweet Sixteen",B12,35,27-8,117.0,95.0,.9168,52.5,46.1,20.6,17.1,39.8,29.4,33.9,30.1,52.2,45.0,35.3,32.2,32.8,34.7,63.7,+7.8,Baylor,3 seed,Sweet Sixteen,2017
23,"UCLA  3 seed, Sweet Sixteen",P12,36,31-5,123.5,100.5,.9148,59.8,48.7,15.1,15.8,29.1,28.6,26.8,25.4,59.1,45.3,40.6,36.5,37.6,35.8,73.3,+6.7,UCLA,3 seed,Sweet Sixteen,2017
24,"Arizona  2 seed, Sweet Sixteen",P12,37,32-5,118.4,96.5,.9132,53.7,47.7,16.6,17.4,33.2,26.0,40.5,28.6,51.5,48.4,39.0,31.0,30.5,36.4,65.7,+7.9,Arizona,2 seed,Sweet Sixteen,2017
25,"South Carolina  7 seed, Final Four",SEC,37,26-11,109.4,90.0,.9039,47.3,45.5,18.4,24.3,34.0,31.6,40.2,44.5,45.9,45.4,33.4,30.6,33.5,34.8,68.2,+1.7,South Carolina,7 seed,Final Four,2017
26,"Butler  4 seed, Sweet Sixteen",BE,34,25-9,118.5,97.8,.9004,54.6,50.8,15.0,19.6,27.2,27.0,37.1,37.0,54.5,51.3,36.6,33.3,37.6,37.7,65.9,+5.5,Butler,4 seed,Sweet Sixteen,2017
27,"Florida St.  3 seed, R32",ACC,35,26-9,116.1,96.2,.8969,53.7,47.9,16.4,19.5,33.8,29.8,38.4,37.3,54.4,45.4,34.7,34.9,31.3,36.1,71.4,+5.9,Florida St.,3 seed,R32,2017
28,"Creighton  6 seed, R64",BE,35,25-10,115.2,96.2,.8879,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33.0,35.9,36.8,71.3,+4.2,Creighton,6 seed,R64,2017
29,"Vanderbilt  9 seed, R64",SEC,35,19-16,113.1,94.7,.8845,52.1,48.1,18.2,16.1,24.8,27.0,34.8,30.7,48.1,46.8,37.6,33.8,48.6,33.0,65.7,+0.08,Vanderbilt,9 seed,R64,2017
30,"Marquette  10 seed, R64",BE,32,19-13,122.5,102.9,.8815,57.5,52.2,17.3,18.3,27.1,29.2,31.0,35.7,52.7,50.6,42.9,36.8,41.5,34.2,70.2,+0.6,Marquette,10 seed,R64,2017
31,"Wake Forest  11 seed, R68",ACC,33,19-14,123.0,103.7,.8773,54.1,52.7,16.4,16.2,30.7,27.7,40.7,38.0,52.1,52.1,38.5,35.8,35.7,38.8,70.7,+1.3,Wake Forest,11 seed,R68,2017
32,"Kansas St.  11 seed, R64",B12,35,21-14,112.9,95.3,.8763,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,36.3,34.0,65.8,+1.6,Kansas St.,11 seed,R64,2017
33,"Miami FL  8 seed, R64",ACC,33,21-12,111.4,94.1,.8745,51.0,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33.0,32.6,34.7,63.3,+2.9,Miami FL,8 seed,R64,2017
34,"Rhode Island  11 seed, R32",A10,35,25-10,112.0,95.0,.8701,50.8,45.0,16.4,19.4,32.8,29.7,39.2,45.0,51.2,45.4,33.3,29.5,32.3,30.0,66.4,+0.48,Rhode Island,11 seed,R32,2017
35,"Xavier  11 seed, Elite Eight",BE,38,24-14,116.3,98.9,.8658,51.9,51.6,18.4,17.5,34.5,25.5,41.1,33.4,52.0,52.5,34.5,33.4,36.1,39.5,67.0,+1.6,Xavier,11 seed,Elite Eight,2017
36,"Minnesota  5 seed, R64",B10,34,24-10,110.1,93.9,.8623,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,29.9,33.2,69.5,+3.7,Minnesota,5 seed,R64,2017
37,"Michigan St.  9 seed, R32",B10,35,20-15,112.3,95.8,.8611,54.0,46.7,20.5,15.9,29.2,27.3,33.5,34.7,52.9,44.1,37.3,34.6,38.0,32.6,66.8,+0.38,Michigan St.,9 seed,R32,2017
39,"Northwestern  8 seed, R32",B10,36,24-12,111.9,95.8,.8554,49.7,46.1,16.0,17.9,30.8,30.6,30.5,36.1,48.8,44.0,34.2,33.3,35.6,34.5,65.5,+2.0,Northwestern,8 seed,R32,2017
42,"Maryland  6 seed, R64",B10,33,24-9,114.1,98.9,.8381,52.4,47.5,19.0,18.0,30.4,32.3,38.5,32.6,51.0,45.6,36.3,34.2,41.1,32.9,67.2,+3.7,Maryland,6 seed,R64,2017
44,"Virginia Tech  9 seed, R64",ACC,33,22-11,119.0,103.5,.8341,56.9,51.0,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49.0,40.3,36.3,39.7,35.9,68.7,+3.3,Virginia Tech,9 seed,R64,2017
46,"Middle Tennessee  12 seed, R32",CUSA,36,31-5,112.1,97.6,.8319,54.1,47.9,15.6,19.8,30.1,23.8,30.0,38.2,53.6,47.1,36.9,32.8,30.1,35.4,64.4,+2.2,Middle Tennessee,12 seed,R32,2017
48,"Arkansas  8 seed, R32",SEC,36,26-10,115.5,100.8,.8282,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50.0,46.7,36.5,33.2,29.5,36.7,69.6,+3.9,Arkansas,8 seed,R32,2017
50,"Dayton  7 seed, R64",A10,32,24-8,111.8,97.9,.8227,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51.0,47.2,38.4,32.3,38.3,39.5,68.2,+1.6,Dayton,7 seed,R64,2017
51,"Providence  11 seed, R68",BE,33,20-13,108.9,95.4,.8202,51.4,49.6,18.4,20.3,26.4,28.6,38.1,30.5,49.1,49.9,37.1,32.8,35.9,34.3,66.3,+0.6,Providence,11 seed,R68,2017
