Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Kentucky  1 seed, Final Four",SEC,39,38-1,121.8,86.1,.9817,51.5,39.6,16.3,21.3,39.5,31.8,43.9,31.7,51.2,39.1,34.9,27.1,27.1,30.5,62.8,+13.0,Kentucky,1 seed,Final Four,2015
2,"Duke  1 seed, CHAMPS",ACC,39,35-4,126.8,92.8,.9731,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,55.9,46.3,38.7,31.4,33.4,27.8,65.8,+10.6,Duke,1 seed,CHAMPS,2015
3,"Wisconsin  1 seed, Finals",B10,40,36-4,130.5,95.8,.9722,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,54.8,44.7,36.5,37.5,37.4,25.7,58.7,+11.3,Wisconsin,1 seed,Finals,2015
4,"Arizona  2 seed, Elite Eight",P12,38,34-4,119.2,89.2,.9655,53.5,45.1,16.5,20.6,34.5,22.4,47.1,37.3,53.3,42.7,36.0,33.5,25.9,31.5,66.1,+8.9,Arizona,2 seed,Elite Eight,2015
5,"Villanova  1 seed, R32",BE,36,33-3,123.6,93.3,.9620,55.3,45.5,16.3,21.6,32.5,31.2,41.8,30.4,53.0,45.3,38.9,30.5,42.9,32.2,64.1,+11.2,Villanova,1 seed,R32,2015
6,"Virginia  2 seed, R32",ACC,34,30-4,113.9,86.4,.9599,50.6,42.3,15.7,17.9,34.3,24.2,34.9,28.6,49.7,40.1,35.2,30.8,27.5,36.6,57.8,+9.9,Virginia,2 seed,R32,2015
7,"Gonzaga  2 seed, Elite Eight",WCC,37,34-3,122.0,95.2,.9455,57.9,44.2,16.1,17.1,33.9,28.0,38.7,30.5,57.0,42.0,40.0,33.0,31.8,30.3,64.6,+7.9,Gonzaga,2 seed,Elite Eight,2015
8,"Utah  5 seed, Sweet Sixteen",P12,34,25-9,116.5,91.0,.9449,55.2,43.0,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,37.3,29.3,60.7,+3.7,Utah,5 seed,Sweet Sixteen,2015
9,"North Carolina  4 seed, Sweet Sixteen",ACC,38,26-12,121.2,94.6,.9449,51.6,45.4,18.2,17.7,40.0,31.2,35.2,37.8,50.9,45.6,35.8,30.0,22.3,36.8,69.3,+6.4,North Carolina,4 seed,Sweet Sixteen,2015
10,"Notre Dame  3 seed, Elite Eight",ACC,38,32-6,127.0,100.9,.9335,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,58.2,47.4,39.0,32.6,37.6,31.5,63.3,+8.4,Notre Dame,3 seed,Elite Eight,2015
