Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Memphis  2 seed, Sweet Sixteen",CUSA,37,33-4,112.6,84.2,.9661,50.1,41.4,18.3,22.4,38.0,30.4,39.9,35.5,50.6,40.0,32.6,30.0,31.3,28.3,66.8,+7.1,Memphis,2 seed,Sweet Sixteen,2009
2,"North Carolina  1 seed, CHAMPS",ACC,37,33-4,123.8,92.7,.9654,52.8,46.6,16.6,20.7,39.2,32.2,39.8,25.4,51.0,44.7,38.5,33.6,27.2,32.8,73.1,+7.7,North Carolina,1 seed,CHAMPS,2009
3,"Connecticut  1 seed, Final Four",BE,36,31-5,116.3,87.1,.9652,51.3,42.4,18.1,16.8,39.8,30.6,46.4,19.5,51.4,40.9,34.1,30.4,23.0,30.3,67.4,+8.8,Connecticut,1 seed,Final Four,2009
4,"Louisville  1 seed, Elite Eight",BE,37,31-6,112.8,86.5,.9551,52.7,44.3,19.9,23.3,35.2,32.4,31.4,30.2,51.1,43.3,36.9,30.9,37.8,30.5,67.1,+8.1,Louisville,1 seed,Elite Eight,2009
5,"Pittsburgh  1 seed, Elite Eight",BE,35,30-5,121.4,93.2,.9544,52.9,46.5,18.2,19.2,42.5,30.1,33.0,30.2,52.8,45.1,35.4,32.9,29.3,33.8,65.1,+8.6,Pittsburgh,1 seed,Elite Eight,2009
6,"Missouri  3 seed, Elite Eight",B12,38,31-7,117.1,91.6,.9443,52.7,46.3,16.3,25.1,34.3,34.7,36.6,39.9,52.7,46.7,35.2,30.3,31.4,30.0,70.7,+6.1,Missouri,3 seed,Elite Eight,2009
7,"Kansas  3 seed, Sweet Sixteen",B12,35,27-8,114.4,90.4,.9374,53.2,44.0,20.8,19.4,36.7,29.2,39.5,35.1,52.2,40.8,37.1,33.4,29.6,34.1,67.0,+5.4,Kansas,3 seed,Sweet Sixteen,2009
8,"West Virginia  6 seed, R64",BE,35,23-12,115.2,91.1,.9366,48.5,46.6,18.2,23.4,41.0,31.5,35.9,38.4,48.0,47.1,32.9,30.2,34.0,30.0,64.5,+3.9,West Virginia,6 seed,R64,2009
9,"UCLA  6 seed, R32",P10,35,26-9,120.0,95.0,.9363,55.7,49.8,19.0,23.9,36.3,31.3,31.2,35.6,53.5,48.0,39.9,36.1,33.2,29.4,65.6,+4.5,UCLA,6 seed,R32,2009
10,"Michigan St.  2 seed, Finals",B10,38,31-7,114.0,90.2,.9363,49.8,47.2,20.9,20.3,40.7,27.1,41.1,36.5,48.5,47.0,35.4,31.8,26.6,35.7,66.7,+7.4,Michigan St.,2 seed,Finals,2009
11,"Gonzaga  4 seed, Sweet Sixteen",WCC,33,27-6,116.9,92.5,.9362,55.2,44.2,16.4,21.3,30.8,30.4,35.5,29.5,53.3,39.4,39.4,35.2,32.1,35.5,67.8,+4.5,Gonzaga,4 seed,Sweet Sixteen,2009
12,"Duke  2 seed, Sweet Sixteen",ACC,37,30-7,117.6,93.3,.9348,50.5,47.8,17.6,23.5,37.4,33.2,41.4,31.0,49.6,46.7,34.9,33.8,35.0,25.9,67.1,+7.9,Duke,2 seed,Sweet Sixteen,2009
13,"Oklahoma  2 seed, Elite Eight",B12,36,30-6,118.6,94.3,.9334,55.2,45.8,20.1,18.3,36.9,31.9,46.5,28.8,56.6,43.0,35.1,33.9,34.5,35.4,67.0,+7.4,Oklahoma,2 seed,Elite Eight,2009
14,"Villanova  3 seed, Final Four",BE,38,30-8,114.6,91.2,.9323,50.8,47.3,19.0,21.7,36.1,29.9,41.9,38.7,49.8,45.0,35.2,33.7,32.0,41.5,67.5,+6.0,Villanova,3 seed,Final Four,2009
15,"Syracuse  3 seed, Sweet Sixteen",BE,37,27-10,117.1,93.5,.9298,54.4,46.7,20.8,19.2,35.9,35.3,39.3,26.2,55.4,48.1,34.9,29.6,32.6,37.9,70.1,+5.9,Syracuse,3 seed,Sweet Sixteen,2009
16,"Arizona St.  6 seed, R32",P10,35,25-10,118.0,94.6,.9273,56.4,47.0,18.6,19.5,29.1,30.0,38.7,30.9,57.1,46.5,37.0,31.9,45.3,36.7,59.7,+4.7,Arizona St.,6 seed,R32,2009
17,"Purdue  5 seed, Sweet Sixteen",B10,37,27-10,110.1,88.8,.9228,50.0,44.1,17.3,22.4,29.4,31.8,33.2,31.3,49.0,41.8,34.7,32.8,34.0,30.5,66.6,+3.9,Purdue,5 seed,Sweet Sixteen,2009
18,"Washington  4 seed, R32",P10,34,25-9,112.4,90.8,.9216,48.8,46.8,20.1,20.2,41.9,31.0,44.3,33.3,48.4,45.4,33.8,33.4,20.3,28.8,72.4,+4.9,Washington,4 seed,R32,2009
19,"Marquette  6 seed, R32",BE,35,25-10,117.3,95.9,.9104,51.2,50.9,16.7,21.5,35.0,30.6,45.4,30.1,50.7,50.3,34.7,34.7,34.6,34.7,68.1,+3.4,Marquette,6 seed,R32,2009
