Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Gonzaga  1 seed, Sweet Sixteen",WCC,32,28-4,120.3,89.9,.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37.0,30.5,35.3,33.3,72.6,+6.7,Gonzaga,1 seed,Sweet Sixteen,2022
2,"Houston  5 seed, Elite Eight",Amer,38,32-6,116.5,88.5,.9595,53.1,43.3,16.9,21.7,37.7,28.0,29.0,34.7,54.5,43.4,33.8,28.8,38.9,42.7,63.7,+6.2,Houston,5 seed,Elite Eight,2022
3,"Kansas  1 seed, CHAMPS",B12,40,34-6,119.8,91.3,.9580,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,33.1,34.8,69.1,+10.4,Kansas,1 seed,CHAMPS,2022
4,"Texas Tech  3 seed, Sweet Sixteen",B12,37,27-10,110.5,85.4,.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,34.1,45.5,66.3,+6.6,Texas Tech,3 seed,Sweet Sixteen,2022
5,"Baylor  1 seed, R32",B12,34,27-7,117.8,91.3,.9491,52.8,47.8,17.9,22.9,36.3,28.8,29.0,27.7,53.6,49.2,34.3,30.2,38.4,36.2,67.6,+8.9,Baylor,1 seed,R32,2022
6,"Duke  2 seed, Final Four",ACC,39,32-7,122.7,96.0,.9440,55.6,47.1,15.0,15.7,31.7,28.9,28.6,19.1,56.0,46.6,36.6,32.0,35.7,33.6,67.4,+7.2,Duke,2 seed,Final Four,2022
7,"Tennessee  3 seed, R32",SEC,35,27-8,111.3,87.1,.9435,50.7,46.4,17.7,22.9,32.4,27.2,29.0,31.5,48.5,46.0,35.9,31.3,40.3,39.2,67.3,+7.9,Tennessee,3 seed,R32,2022
8,"Villanova  2 seed, Final Four",BE,38,30-8,117.2,93.0,.9345,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25.0,49.5,48.1,35.9,30.8,46.3,42.2,62.2,+7.3,Villanova,2 seed,Final Four,2022
9,"Arizona  1 seed, Sweet Sixteen",P12,37,33-4,118.0,93.7,.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24.0,57.0,41.8,35.3,32.8,35.9,34.7,72.3,+8.8,Arizona,1 seed,Sweet Sixteen,2022
10,"UCLA  4 seed, Sweet Sixteen",P12,35,27-8,115.8,92.2,.9320,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,31.2,38.1,65.4,+5.0,UCLA,4 seed,Sweet Sixteen,2022
