Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,School,Seed Rank,Round Finished,Year
1,"Gonzaga  1 seed, Finals",WCC,32,31-1,125.9,90.9,.9768,61.0,47.7,16.1,19.3,30.1,23.8,35.8,25.7,63.9,47.0,36.8,32.7,33.2,33.7,73.5,+8.5,Gonzaga,1 seed,Finals,2021
2,"Baylor  1 seed, CHAMPS",B12,30,28-2,124.9,92.9,.9677,56.5,48.9,16.5,24.4,37.3,30.6,26.5,31.3,53.2,48.7,41.3,32.9,38.4,34.3,67.7,+6.7,Baylor,1 seed,CHAMPS,2021
3,"Houston  2 seed, Final Four",Amer,32,28-4,119.1,91.3,.9554,50.4,43.9,16.2,21.1,39.8,27.9,31.3,41.2,49.0,43.4,34.8,29.9,42.2,37.7,64.3,+4.0,Houston,2 seed,Final Four,2021
4,"Illinois  1 seed, R32",B10,31,24-7,116.9,90.6,.9491,55.6,46.5,18.1,16.1,32.2,22.1,37.9,30.1,55.4,45.1,37.2,32.9,30.0,32.6,70.5,+8.8,Illinois,1 seed,R32,2021
5,"Michigan  1 seed, Elite Eight",B10,28,23-5,116.6,90.6,.9477,54.7,44.4,16.6,14.8,29.6,24.7,30.4,24.3,53.5,42.6,38.1,32.2,33.9,31.9,66.6,+7.1,Michigan,1 seed,Elite Eight,2021
6,"Iowa  2 seed, R32",B10,31,22-9,123.4,97.2,.9398,54.7,48.8,13.3,16.1,30.9,29.1,32.0,22.2,52.6,46.6,38.6,34.8,39.8,39.5,69.8,+5.5,Iowa,2 seed,R32,2021
7,"USC  6 seed, Elite Eight",P12,33,25-8,114.3,90.5,.9361,52.7,44.9,18.0,16.9,35.0,28.3,36.3,24.1,52.2,42.1,36.0,33.3,31.0,35.1,66.8,+5.5,USC,6 seed,Elite Eight,2021
8,"Colorado  5 seed, R32",P12,32,23-9,115.7,92.5,.9291,52.4,47.9,17.1,19.8,30.8,25.5,29.5,29.1,50.4,46.8,37.3,33.3,36.4,35.1,66.1,+4.9,Colorado,5 seed,R32,2021
9,"Alabama  2 seed, Sweet Sixteen",SEC,33,26-7,111.9,89.7,.9277,51.7,45.8,18.6,20.5,32.2,29.2,28.8,30.7,50.7,46.8,35.2,29.1,46.5,34.3,73.3,+6.9,Alabama,2 seed,Sweet Sixteen,2021
10,"Florida St.  4 seed, Sweet Sixteen",ACC,25,18-7,115.2,93.0,.9211,54.0,46.1,20.4,19.5,34.4,31.7,32.4,35.2,52.7,44.5,37.6,32.5,34.9,39.5,69.6,+2.4,Florida St.,4 seed,Sweet Sixteen,2021
11,"Ohio St.  2 seed, R64",B10,31,21-10,120.4,97.3,.9204,52.9,48.7,15.5,14.7,29.3,27.0,37.2,33.5,52.2,47.2,36.0,34.0,39.2,38.4,66.6,+6.0,Ohio St.,2 seed,R64,2021
12,"Wisconsin  9 seed, R32",B10,31,18-13,112.5,91.3,.9166,49.9,47.9,13.6,17.3,23.9,25.2,26.2,28.4,46.6,46.6,36.5,33.5,40.8,33.5,64.6,+2.1,Wisconsin,9 seed,R32,2021
13,"Loyola Chicago  8 seed, Sweet Sixteen",MVC,31,26-5,109.7,89.2,.9150,55.7,47.2,18.3,21.5,27.1,20.9,31.5,22.7,57.2,46.3,35.4,32.5,37.1,33.5,63.4,+1.8,Loyola Chicago,8 seed,Sweet Sixteen,2021
14,"Villanova  5 seed, Sweet Sixteen",BE,25,18-7,118.5,96.8,.9107,53.2,51.0,13.7,18.4,27.7,25.7,30.0,25.6,53.4,50.7,35.3,34.3,44.8,40.5,64.1,+3.1,Villanova,5 seed,Sweet Sixteen,2021
15,"Connecticut  7 seed, R64",BE,23,15-8,114.1,93.5,.9079,49.0,46.7,17.5,19.6,37.4,29.5,29.0,36.8,48.3,45.8,33.5,32.4,33.4,33.3,65.2,+2.0,Connecticut,7 seed,R64,2021
16,"Texas Tech  6 seed, R32",B12,29,18-11,111.9,91.9,.9063,49.4,47.7,16.0,23.7,33.4,30.0,37.9,35.6,47.8,45.5,35.3,34.2,31.3,38.2,65.3,+0.9,Texas Tech,6 seed,R32,2021
17,"San Diego St.  6 seed, R64",MWC,28,23-5,111.2,91.5,.9043,52.4,47.5,16.7,22.4,30.1,24.3,33.2,32.5,50.4,44.9,36.8,33.8,40.4,45.9,65.5,+3.1,San Diego St.,6 seed,R64,2021
18,"UCLA  11 seed, Final Four",P12,32,22-10,115.9,95.6,.9023,52.0,50.4,15.7,17.5,30.5,25.1,31.6,28.2,50.3,50.4,37.2,33.7,31.6,37.7,63.7,+2.6,UCLA,11 seed,Final Four,2021
19,"Texas  3 seed, R64",B12,27,19-8,112.7,93.1,.8996,52.9,46.0,20.7,17.8,31.1,27.5,33.9,35.9,52.5,45.3,35.6,31.7,42.1,33.1,68.7,+4.2,Texas,3 seed,R64,2021
20,"West Virginia  3 seed, R32",B12,29,19-10,116.1,96.5,.8941,48.9,51.0,16.8,21.0,35.9,31.1,37.9,27.9,46.1,51.5,36.4,33.5,33.1,38.0,69.2,+3.0,West Virginia,3 seed,R32,2021
21,"LSU  8 seed, R32",SEC,29,19-10,119.8,99.5,.8939,52.3,48.5,15.6,17.9,31.4,32.1,34.0,29.8,52.4,51.3,34.7,30.0,37.0,44.0,70.3,+2.3,LSU,8 seed,R32,2021
